	CNAC: BLCA	CNAC: BRCA	CNAC: CESC	CNAC: COAD	CNAC: ESCA	CNAC: HNSC	CNAC: KIRC	CNAC: KIRP	CNAC: LIHC	CNAC: LUAD	CNAC: LUSC	CNAC: PRAD	CNAC: READ	CNAC: STAD	CNAC: THCA	CNAC: UCEC	CNAS: BLCA	CNAS: BRCA	CNAS: CESC	CNAS: COAD	CNAS: ESCA	CNAS: HNSC	CNAS: KIRC	CNAS: KIRP	CNAS: LIHC	CNAS: LUAD	CNAS: LUSC	CNAS: PRAD	CNAS: READ	CNAS: STAD	CNAS: THCA	CNAS: UCEC
MIR7641-2	960.0	1234.0	352.0	230.0	248.0	278.0	576.0	123.0	510.0	1241.0	504.0	139.0	329.0	504.0	22.0	96.0	340.0	663.0	215.0	170.0	131.0	238.0	259.0	67.0	277.0	472.0	335.0	122.0	154.0	254.0	19.0	96.0
FLJ42969	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
GRHL2	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
MIR7705	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
NACAP1	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
PABPC1	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
YWHAZ	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
ZNF706	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
AGPAT5	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
ANGPT2	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
