	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
TP53	223.0	337.0	24.0	251.0	174.0	413.0	10.0	6.0	107.0	290.0	418.0	56.0	116.0	211.0	3.0	216.0	199.0	331.0	20.0	234.0	155.0	352.0	10.0	6.0	105.0	276.0	397.0	54.0	111.0	197.0	3.0	190.0
TTN	331.0	266.0	192.0	615.0	115.0	330.0	77.0	43.0	108.0	584.0	792.0	71.0	220.0	541.0	17.0	1724.0	175.0	167.0	85.0	203.0	74.0	187.0	63.0	40.0	89.0	242.0	338.0	48.0	62.0	221.0	16.0	193.0
KMT2D	138.0	34.0	58.0	85.0	24.0	79.0	8.0	13.0	20.0	37.0	122.0	33.0	9.0	103.0	2.0	264.0	109.0	32.0	39.0	59.0	21.0	70.0	8.0	13.0	19.0	36.0	104.0	28.0	7.0	68.0	2.0	140.0
MUC16	160.0	124.0	88.0	276.0	51.0	118.0	31.0	24.0	70.0	384.0	310.0	32.0	103.0	220.0	7.0	592.0	103.0	99.0	49.0	122.0	40.0	89.0	29.0	22.0	59.0	224.0	186.0	26.0	28.0	134.0	7.0	126.0
KDM6A	112.0	20.0	13.0	14.0	8.0	17.0	2.0	12.0	4.0	12.0	23.0	14.0	1.0	13.0	1.0	50.0	103.0	19.0	11.0	14.0	8.0	17.0	2.0	10.0	4.0	12.0	22.0	14.0	1.0	13.0	1.0	37.0
ARID1A	120.0	39.0	18.0	61.0	15.0	18.0	12.0	11.0	29.0	37.0	31.0	5.0	12.0	157.0	0.0	351.0	100.0	37.0	16.0	56.0	15.0	17.0	12.0	11.0	27.0	34.0	30.0	5.0	11.0	116.0	0.0	235.0
PIK3CA	91.0	361.0	96.0	154.0	17.0	88.0	5.0	4.0	13.0	26.0	55.0	11.0	23.0	82.0	3.0	356.0	84.0	328.0	81.0	127.0	16.0	85.0	5.0	3.0	13.0	25.0	54.0	10.0	22.0	67.0	3.0	252.0
SYNE1	98.0	69.0	50.0	256.0	41.0	104.0	14.0	15.0	18.0	80.0	199.0	30.0	78.0	145.0	4.0	394.0	78.0	53.0	35.0	123.0	33.0	82.0	14.0	13.0	17.0	68.0	149.0	22.0	34.0	102.0	3.0	103.0
RB1	80.0	24.0	20.0	15.0	5.0	13.0	1.0	0.0	21.0	33.0	36.0	3.0	5.0	13.0	1.0	91.0	72.0	22.0	17.0	12.0	5.0	13.0	1.0	0.0	19.0	32.0	35.0	3.0	4.0	13.0	1.0	65.0
KMT2C	91.0	93.0	72.0	69.0	11.0	34.0	16.0	20.0	12.0	61.0	57.0	23.0	13.0	86.0	4.0	226.0	68.0	85.0	54.0	50.0	11.0	33.0	16.0	18.0	12.0	51.0	53.0	21.0	7.0	55.0	4.0	89.0
RYR2	74.0	69.0	42.0	163.0	24.0	62.0	10.0	6.0	37.0	343.0	249.0	17.0	41.0	98.0	2.0	405.0	68.0	55.0	32.0	86.0	22.0	50.0	10.0	6.0	33.0	198.0	179.0	16.0	25.0	73.0	2.0	114.0
HMCN1	73.0	71.0	25.0	89.0	24.0	36.0	16.0	8.0	29.0	105.0	69.0	13.0	24.0	114.0	4.0	306.0	66.0	58.0	21.0	55.0	24.0	31.0	16.0	8.0	26.0	85.0	55.0	13.0	11.0	78.0	4.0	90.0
MACF1	80.0	37.0	17.0	78.0	11.0	39.0	12.0	10.0	13.0	55.0	50.0	13.0	26.0	65.0	4.0	284.0	60.0	32.0	13.0	48.0	11.0	34.0	11.0	10.0	12.0	44.0	47.0	11.0	10.0	43.0	4.0	102.0
FAT4	74.0	22.0	15.0	185.0	13.0	43.0	9.0	3.0	21.0	92.0	64.0	13.0	48.0	139.0	0.0	325.0	60.0	20.0	15.0	102.0	11.0	38.0	8.0	3.0	17.0	83.0	57.0	7.0	26.0	92.0	0.0	101.0
EP300	71.0	16.0	45.0	31.0	10.0	38.0	8.0	7.0	7.0	7.0	22.0	7.0	10.0	25.0	0.0	114.0	60.0	15.0	36.0	26.0	10.0	38.0	8.0	7.0	7.0	7.0	21.0	6.0	7.0	22.0	0.0	70.0
FLG	64.0	63.0	47.0	67.0	29.0	64.0	12.0	6.0	29.0	196.0	98.0	8.0	26.0	106.0	1.0	176.0	58.0	56.0	36.0	53.0	27.0	58.0	12.0	6.0	26.0	129.0	79.0	8.0	16.0	85.0	1.0	88.0
ELF3	66.0	1.0	5.0	11.0	1.0	1.0	1.0	1.0	3.0	6.0	3.0	0.0	4.0	12.0	0.0	13.0	55.0	1.0	5.0	11.0	1.0	1.0	1.0	1.0	3.0	6.0	3.0	0.0	4.0	12.0	0.0	12.0
STAG2	58.0	15.0	9.0	11.0	3.0	5.0	10.0	8.0	4.0	22.0	13.0	0.0	1.0	14.0	1.0	94.0	55.0	15.0	8.0	11.0	3.0	5.0	10.0	8.0	4.0	19.0	12.0	0.0	1.0	13.0	1.0	49.0
CSMD3	65.0	41.0	23.0	120.0	42.0	121.0	19.0	6.0	31.0	357.0	306.0	17.0	32.0	139.0	3.0	403.0	53.0	38.0	20.0	80.0	35.0	90.0	17.0	6.0	29.0	210.0	203.0	17.0	17.0	102.0	3.0	121.0
ATM	59.0	23.0	12.0	77.0	6.0	13.0	21.0	3.0	12.0	49.0	28.0	18.0	28.0	55.0	5.0	175.0	51.0	22.0	12.0	55.0	6.0	12.0	17.0	3.0	12.0	42.0	27.0	18.0	15.0	42.0	5.0	96.0
OBSCN	58.0	38.0	29.0	136.0	19.0	35.0	4.0	11.0	30.0	78.0	55.0	17.0	27.0	101.0	0.0	276.0	50.0	33.0	21.0	84.0	16.0	32.0	4.0	11.0	27.0	69.0	49.0	11.0	17.0	74.0	0.0	110.0
NEB	53.0	47.0	32.0	122.0	10.0	32.0	9.0	8.0	16.0	71.0	68.0	6.0	45.0	67.0	1.0	352.0	50.0	42.0	23.0	64.0	10.0	28.0	9.0	8.0	15.0	56.0	63.0	6.0	15.0	49.0	1.0	91.0
CUBN	52.0	31.0	22.0	63.0	12.0	40.0	9.0	14.0	24.0	69.0	84.0	10.0	13.0	65.0	0.0	165.0	48.0	27.0	20.0	47.0	11.0	34.0	9.0	14.0	23.0	58.0	66.0	9.0	7.0	56.0	0.0	74.0
BIRC6	60.0	30.0	18.0	59.0	8.0	27.0	9.0	10.0	17.0	50.0	50.0	4.0	23.0	47.0	1.0	203.0	47.0	27.0	13.0	36.0	8.0	24.0	9.0	9.0	15.0	44.0	45.0	4.0	7.0	36.0	1.0	72.0
SYNE2	57.0	52.0	36.0	89.0	11.0	35.0	10.0	12.0	14.0	74.0	54.0	6.0	22.0	82.0	1.0	251.0	47.0	38.0	23.0	55.0	10.0	34.0	10.0	12.0	14.0	63.0	43.0	5.0	11.0	59.0	1.0	86.0
DNAH5	55.0	24.0	23.0	119.0	29.0	77.0	4.0	7.0	19.0	76.0	109.0	7.0	36.0	101.0	1.0	285.0	47.0	21.0	13.0	81.0	26.0	65.0	4.0	7.0	18.0	63.0	84.0	6.0	13.0	76.0	1.0	96.0
ERBB2	52.0	25.0	15.0	15.0	11.0	8.0	3.0	4.0	1.0	12.0	6.0	4.0	7.0	22.0	0.0	43.0	46.0	23.0	13.0	13.0	10.0	8.0	3.0	4.0	1.0	12.0	6.0	3.0	7.0	19.0	0.0	35.0
XIRP2	52.0	36.0	18.0	88.0	13.0	52.0	12.0	6.0	29.0	175.0	115.0	8.0	34.0	70.0	0.0	248.0	46.0	28.0	15.0	50.0	13.0	48.0	12.0	6.0	29.0	134.0	95.0	7.0	14.0	53.0	0.0	77.0
CREBBP	49.0	22.0	24.0	51.0	8.0	33.0	3.0	8.0	6.0	25.0	36.0	5.0	11.0	51.0	1.0	125.0	46.0	20.0	22.0	40.0	7.0	29.0	3.0	8.0	6.0	23.0	32.0	4.0	7.0	38.0	1.0	67.0
ZFHX4	52.0	52.0	23.0	121.0	12.0	40.0	9.0	4.0	18.0	240.0	196.0	6.0	32.0	92.0	1.0	313.0	45.0	47.0	19.0	86.0	12.0	37.0	9.0	4.0	14.0	171.0	142.0	6.0	17.0	77.0	1.0	105.0
