Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	105	855	960	340
FLJ42969	267	255	522	334
GRHL2	267	255	522	334
MIR7705	267	255	522	334
NACAP1	267	255	522	334
PABPC1	267	255	522	334
YWHAZ	267	255	522	334
ZNF706	267	255	522	334
AGPAT5	0	509	509	262
ANGPT2	0	509	509	262
ARHGEF10	0	509	509	262
CLDN23	0	509	509	262
CLN8	0	509	509	262
CSMD1	0	509	509	262
DEFA1	0	509	509	262
DEFA10P	0	509	509	262
DEFA11P	0	509	509	262
DEFA1B	0	509	509	262
DEFA3	0	509	509	262
DEFA4	0	509	509	262
DEFA5	0	509	509	262
DEFA6	0	509	509	262
DEFA8P	0	509	509	262
DEFA9P	0	509	509	262
DEFB1	0	509	509	262
DEFB103A	0	509	509	262
DEFB104A	0	509	509	262
DEFB105A	0	509	509	262
DEFB106A	0	509	509	262
DEFB107A	0	509	509	262
DEFB109P1	0	509	509	262
DEFB109P1B	0	509	509	262
DEFB4A	0	509	509	262
DEFB4B	0	509	509	262
DEFT1P	0	509	509	262
DLGAP2	0	509	509	262
DLGAP2-AS1	0	509	509	262
ERI1	0	509	509	262
ERICH1	0	509	509	262
ERICH1-AS1	0	509	509	262
FAM66B	0	509	509	262
FAM66E	0	509	509	262
FAM86B3P	0	509	509	262
FAM87A	0	509	509	262
FAM90A10P	0	509	509	262
FAM90A7P	0	509	509	262
FBXO25	0	509	509	262
GS1-24F4.2	0	509	509	262
KBTBD11	0	509	509	262
KBTBD11-OT1	0	509	509	262
LINC00965	0	509	509	262
LOC100287015	0	509	509	262
LOC101927752	0	509	509	262
LOC101927815	0	509	509	262
LOC101928058	0	509	509	262
LOC101929128	0	509	509	262
LOC157273	0	509	509	262
LOC286083	0	509	509	262
LOC401442	0	509	509	262
MCPH1	0	509	509	262
MCPH1-AS1	0	509	509	262
MFHAS1	0	509	509	262
MIR3674	0	509	509	262
MIR4659A	0	509	509	262
MIR4659B	0	509	509	262
MIR4660	0	509	509	262
MIR548I3	0	509	509	262
MIR596	0	509	509	262
MIR597	0	509	509	262
MIR7160	0	509	509	262
MIR8055	0	509	509	262
MYOM2	0	509	509	262
OR4F21	0	509	509	262
PPP1R3B	0	509	509	262
PRR23D1	0	509	509	262
PRR23D2	0	509	509	262
RPL23AP53	0	509	509	262
SGK223	0	509	509	262
SPAG11A	0	509	509	262
SPAG11B	0	509	509	262
TDRP	0	509	509	262
USP17L1	0	509	509	262
USP17L3	0	509	509	262
USP17L4	0	509	509	262
USP17L8	0	509	509	262
XKR5	0	509	509	262
ZNF596	0	509	509	262
ZNF705B	0	509	509	262
ZNF705G	0	509	509	262
LINC01288	0	465	465	270
LOC101929550	0	465	465	270
UNC5D	0	465	465	270
ANK1	133	255	388	303
AP3M2	133	255	388	303
KAT6A	133	255	388	303
LOC105379393	133	255	388	303
PLAT	133	255	388	303
ADGRA2	122	255	377	301
ERLIN2	122	255	377	301
LOC101929622	122	255	377	301
LOC102723701	122	255	377	301
LOC728024	122	255	377	301
PROSC	122	255	377	301
ZNF703	122	255	377	301
FNTA	0	364	364	263
HGSNAT	0	364	364	263
POMK	0	364	364	263
POTEA	0	364	364	263
BCKDHB	0	344	344	203
CD109	0	344	344	203
CEP162	0	344	344	203
COL12A1	0	344	344	203
COX7A2	0	344	344	203
CYB5R4	0	344	344	203
DDX43	0	344	344	203
DOPEY1	0	344	344	203
DPPA5	0	344	344	203
EEF1A1	0	344	344	203
ELOVL4	0	344	344	203
FAM46A	0	344	344	203
FILIP1	0	344	344	203
HMGN3	0	344	344	203
HMGN3-AS1	0	344	344	203
HTR1B	0	344	344	203
IBTK	0	344	344	203
IMPG1	0	344	344	203
IRAK1BP1	0	344	344	203
KHDC1	0	344	344	203
KHDC1L	0	344	344	203
KHDC3L	0	344	344	203
LCA5	0	344	344	203
LCAL1	0	344	344	203
LINC01526	0	344	344	203
LINC01621	0	344	344	203
LOC100506804	0	344	344	203
LOC101928489	0	344	344	203
LOC101928516	0	344	344	203
LOC101928540	0	344	344	203
LOC105377879	0	344	344	203
MB21D1	0	344	344	203
ME1	0	344	344	203
MEI4	0	344	344	203
MIR4463	0	344	344	203
MRAP2	0	344	344	203
MTO1	0	344	344	203
MYO6	0	344	344	203
OOEP	0	344	344	203
PGM3	0	344	344	203
PHIP	0	344	344	203
PRSS35	0	344	344	203
RIPPLY2	0	344	344	203
RWDD2A	0	344	344	203
SENP6	0	344	344	203
SH3BGRL2	0	344	344	203
SLC17A5	0	344	344	203
SNAP91	0	344	344	203
SNORD141A	0	344	344	203
TMEM30A	0	344	344	203
TPBG	0	344	344	203
TTK	0	344	344	203
UBE3D	0	344	344	203
MIR1244-1	0	291	291	244
MIR1244-2	0	291	291	244
MIR1244-3	0	291	291	244
PTPRD	91	182	273	271
PTPRD-AS1	91	182	273	271
ABALON	268	0	268	268
BCL2L1	268	0	268	268
COX4I2	268	0	268	268
HM13	268	0	268	268
HM13-AS1	268	0	268	268
ID1	268	0	268	268
MIR3193	268	0	268	268
TPX2	268	0	268	268
AARD	0	255	255	255
ABRA	0	255	255	255
ADAM18	0	255	255	255
ADAM2	0	255	255	255
ADAM28	0	255	255	255
ADAM32	0	255	255	255
ADAM3A	0	255	255	255
ADAM5	0	255	255	255
ADAM7	0	255	255	255
ADAM9	0	255	255	255
ADAMDEC1	0	255	255	255
ADCK5	0	255	255	255
ADCY8	0	255	255	255
ADGRB1	0	255	255	255
ADHFE1	0	255	255	255
ADRA1A	0	255	255	255
ADRB3	0	255	255	255
AGO2	0	255	255	255
ANGPT1	0	255	255	255
ANKRD46	0	255	255	255
ANXA13	0	255	255	255
ARC	0	255	255	255
ARFGEF1	0	255	255	255
ARHGAP39	0	255	255	255
ARMC1	0	255	255	255
ASAH1	0	255	255	255
ASAP1	0	255	255	255
ASAP1-IT1	0	255	255	255
ASAP1-IT2	0	255	255	255
ASH2L	0	255	255	255
ASPH	0	255	255	255
ATAD2	0	255	255	255
ATP6V0D2	0	255	255	255
ATP6V1B2	0	255	255	255
ATP6V1C1	0	255	255	255
ATP6V1H	0	255	255	255
AZIN1	0	255	255	255
AZIN1-AS1	0	255	255	255
BAALC	0	255	255	255
BAALC-AS1	0	255	255	255
BAALC-AS2	0	255	255	255
BAG4	0	255	255	255
BHLHE22	0	255	255	255
BIN3	0	255	255	255
BIN3-IT1	0	255	255	255
BLK	0	255	255	255
BMP1	0	255	255	255
BNIP3L	0	255	255	255
BOP1	0	255	255	255
BREA2	0	255	255	255
BRF2	0	255	255	255
C8orf22	0	255	255	255
C8orf31	0	255	255	255
C8orf33	0	255	255	255
C8orf34	0	255	255	255
C8orf34-AS1	0	255	255	255
C8orf37	0	255	255	255
C8orf37-AS1	0	255	255	255
C8orf4	0	255	255	255
C8orf44	0	255	255	255
C8orf44-SGK3	0	255	255	255
C8orf46	0	255	255	255
C8orf48	0	255	255	255
C8orf49	0	255	255	255
C8orf58	0	255	255	255
C8orf59	0	255	255	255
C8orf74	0	255	255	255
C8orf76	0	255	255	255
C8orf82	0	255	255	255
C8orf86	0	255	255	255
C8orf87	0	255	255	255
C8orf88	0	255	255	255
C8orf89	0	255	255	255
CA1	0	255	255	255
CA13	0	255	255	255
CA2	0	255	255	255
CA3	0	255	255	255
CA3-AS1	0	255	255	255
CA8	0	255	255	255
CALB1	0	255	255	255
CASC11	0	255	255	255
CASC19	0	255	255	255
CASC21	0	255	255	255
CASC8	0	255	255	255
CASC9	0	255	255	255
CCAR2	0	255	255	255
CCAT1	0	255	255	255
CCAT2	0	255	255	255
CCDC166	0	255	255	255
CCDC25	0	255	255	255
CCDC26	0	255	255	255
CCNE2	0	255	255	255
CDC42P3	0	255	255	255
CDCA2	0	255	255	255
CDH17	0	255	255	255
CEBPD	0	255	255	255
CHCHD7	0	255	255	255
CHD7	0	255	255	255
CHMP4C	0	255	255	255
CHMP7	0	255	255	255
CHRAC1	0	255	255	255
CHRNA2	0	255	255	255
CHRNA6	0	255	255	255
CHRNB3	0	255	255	255
CLU	0	255	255	255
CLVS1	0	255	255	255
CNBD1	0	255	255	255
CNGB3	0	255	255	255
CNOT7	0	255	255	255
COL14A1	0	255	255	255
COL22A1	0	255	255	255
COLEC10	0	255	255	255
COMMD5	0	255	255	255
COPS5	0	255	255	255
COX6C	0	255	255	255
CPA6	0	255	255	255
CPNE3	0	255	255	255
CPQ	0	255	255	255
CPSF1	0	255	255	255
CRH	0	255	255	255
CRISPLD1	0	255	255	255
CSGALNACT1	0	255	255	255
CSMD3	0	255	255	255
CSPP1	0	255	255	255
CTHRC1	0	255	255	255
CTSB	0	255	255	255
CYC1	0	255	255	255
CYHR1	0	255	255	255
CYP11B1	0	255	255	255
CYP11B2	0	255	255	255
CYP7A1	0	255	255	255
CYP7B1	0	255	255	255
DCAF13	0	255	255	255
DCAF4L2	0	255	255	255
DCSTAMP	0	255	255	255
DCTN6	0	255	255	255
DDHD2	0	255	255	255
DECR1	0	255	255	255
DEFB130	0	255	255	255
DEFB134	0	255	255	255
DEFB135	0	255	255	255
DEFB136	0	255	255	255
DENND3	0	255	255	255
DEPTOR	0	255	255	255
DERL1	0	255	255	255
DGAT1	0	255	255	255
DKK4	0	255	255	255
DLC1	0	255	255	255
DMTN	0	255	255	255
DNAJC5B	0	255	255	255
DOCK5	0	255	255	255
DOK2	0	255	255	255
DPY19L4	0	255	255	255
DPYS	0	255	255	255
DPYSL2	0	255	255	255
DSCC1	0	255	255	255
DUSP26	0	255	255	255
DUSP4	0	255	255	255
E2F5	0	255	255	255
EBAG9	0	255	255	255
EBF2	0	255	255	255
EEF1D	0	255	255	255
EFCAB1	0	255	255	255
EFR3A	0	255	255	255
EGR3	0	255	255	255
EIF3E	0	255	255	255
EIF3H	0	255	255	255
EIF4EBP1	0	255	255	255
ELP3	0	255	255	255
EMC2	0	255	255	255
ENPP2	0	255	255	255
ENTPD4	0	255	255	255
ENY2	0	255	255	255
EPHX2	0	255	255	255
EPPK1	0	255	255	255
ERICH5	0	255	255	255
ESCO2	0	255	255	255
ESRP1	0	255	255	255
EXOSC4	0	255	255	255
EXT1	0	255	255	255
EXTL3	0	255	255	255
EXTL3-AS1	0	255	255	255
EYA1	0	255	255	255
FABP12	0	255	255	255
FABP4	0	255	255	255
FABP5	0	255	255	255
FABP9	0	255	255	255
FAM110B	0	255	255	255
FAM135B	0	255	255	255
FAM150A	0	255	255	255
FAM160B2	0	255	255	255
FAM167A	0	255	255	255
FAM167A-AS1	0	255	255	255
FAM183CP	0	255	255	255
FAM49B	0	255	255	255
FAM66A	0	255	255	255
FAM66D	0	255	255	255
FAM83A	0	255	255	255
FAM83A-AS1	0	255	255	255
FAM83H	0	255	255	255
FAM83H-AS1	0	255	255	255
FAM84B	0	255	255	255
FAM86B1	0	255	255	255
FAM86B2	0	255	255	255
FAM90A25P	0	255	255	255
FAM90A2P	0	255	255	255
FAM91A1	0	255	255	255
FAM92A1	0	255	255	255
FBXL6	0	255	255	255
FBXO16	0	255	255	255
FBXO32	0	255	255	255
FBXO43	0	255	255	255
FDFT1	0	255	255	255
FER1L6	0	255	255	255
FER1L6-AS1	0	255	255	255
FER1L6-AS2	0	255	255	255
FGF17	0	255	255	255
FGF20	0	255	255	255
FGFR1	0	255	255	255
FGL1	0	255	255	255
FLJ46284	0	255	255	255
FOXH1	0	255	255	255
FSBP	0	255	255	255
FUT10	0	255	255	255
FZD3	0	255	255	255
FZD6	0	255	255	255
GATA4	0	255	255	255
GDAP1	0	255	255	255
GDF6	0	255	255	255
GEM	0	255	255	255
GFRA2	0	255	255	255
GGH	0	255	255	255
GINS4	0	255	255	255
GLI4	0	255	255	255
GML	0	255	255	255
GNRH1	0	255	255	255
GOLGA7	0	255	255	255
GOT1L1	0	255	255	255
GPAA1	0	255	255	255
GPAT4	0	255	255	255
GPIHBP1	0	255	255	255
GPR20	0	255	255	255
GPT	0	255	255	255
GRINA	0	255	255	255
GSDMC	0	255	255	255
GSDMD	0	255	255	255
GSR	0	255	255	255
GTF2E2	0	255	255	255
HAS2	0	255	255	255
HAS2-AS1	0	255	255	255
HEY1	0	255	255	255
HGH1	0	255	255	255
HHLA1	0	255	255	255
HMBOX1	0	255	255	255
HNF4G	0	255	255	255
HOOK3	0	255	255	255
HPYR1	0	255	255	255
HR	0	255	255	255
HSF1	0	255	255	255
HTRA4	0	255	255	255
IDO1	0	255	255	255
IDO2	0	255	255	255
IKBKB	0	255	255	255
IL7	0	255	255	255
IMPA1	0	255	255	255
IMPAD1	0	255	255	255
INTS10	0	255	255	255
INTS8	0	255	255	255
INTS9	0	255	255	255
JPH1	0	255	255	255
JRK	0	255	255	255
KCNB2	0	255	255	255
KCNK9	0	255	255	255
KCNQ3	0	255	255	255
KCNS2	0	255	255	255
KCNU1	0	255	255	255
KCNV1	0	255	255	255
KCTD9	0	255	255	255
KHDRBS3	0	255	255	255
KIAA0196	0	255	255	255
KIAA1429	0	255	255	255
KIAA1456	0	255	255	255
KIF13B	0	255	255	255
KIFC2	0	255	255	255
KLF10	0	255	255	255
KLHL38	0	255	255	255
LACTB2	0	255	255	255
LACTB2-AS1	0	255	255	255
LAPTM4B	0	255	255	255
LEPROTL1	0	255	255	255
LETM2	0	255	255	255
LGI3	0	255	255	255
LINC00051	0	255	255	255
LINC00208	0	255	255	255
LINC00251	0	255	255	255
LINC00293	0	255	255	255
LINC00534	0	255	255	255
LINC00535	0	255	255	255
LINC00536	0	255	255	255
LINC00588	0	255	255	255
LINC00589	0	255	255	255
LINC00599	0	255	255	255
LINC00681	0	255	255	255
LINC00824	0	255	255	255
LINC00861	0	255	255	255
LINC00964	0	255	255	255
LINC00967	0	255	255	255
LINC00968	0	255	255	255
LINC00977	0	255	255	255
LINC01030	0	255	255	255
LINC01111	0	255	255	255
LINC01151	0	255	255	255
LINC01289	0	255	255	255
LINC01298	0	255	255	255
LINC01299	0	255	255	255
LINC01300	0	255	255	255
LINC01301	0	255	255	255
LINC01419	0	255	255	255
LINC01591	0	255	255	255
LINC01592	0	255	255	255
LINC01602	0	255	255	255
LINC01603	0	255	255	255
LINC01605	0	255	255	255
LINC01606	0	255	255	255
LINC01607	0	255	255	255
LINC01608	0	255	255	255
LINC01609	0	255	255	255
LINCR-0001	0	255	255	255
LOC100128993	0	255	255	255
LOC100130298	0	255	255	255
LOC100130964	0	255	255	255
LOC100132813	0	255	255	255
LOC100133669	0	255	255	255
LOC100287846	0	255	255	255
LOC100288181	0	255	255	255
LOC100288748	0	255	255	255
LOC100500773	0	255	255	255
LOC100506990	0	255	255	255
LOC100507071	0	255	255	255
LOC100507156	0	255	255	255
LOC100507464	0	255	255	255
LOC101241902	0	255	255	255
LOC101926892	0	255	255	255
LOC101926908	0	255	255	255
LOC101927040	0	255	255	255
LOC101927066	0	255	255	255
LOC101927141	0	255	255	255
LOC101927513	0	255	255	255
LOC101927543	0	255	255	255
LOC101927588	0	255	255	255
LOC101927657	0	255	255	255
LOC101927798	0	255	255	255
LOC101927822	0	255	255	255
LOC101927845	0	255	255	255
LOC101927915	0	255	255	255
LOC101928087	0	255	255	255
LOC101928160	0	255	255	255
LOC101928902	0	255	255	255
LOC101929066	0	255	255	255
LOC101929172	0	255	255	255
LOC101929217	0	255	255	255
LOC101929229	0	255	255	255
LOC101929237	0	255	255	255
LOC101929268	0	255	255	255
LOC101929269	0	255	255	255
LOC101929294	0	255	255	255
LOC101929315	0	255	255	255
LOC101929341	0	255	255	255
LOC101929415	0	255	255	255
LOC101929450	0	255	255	255
LOC101929470	0	255	255	255
LOC101929488	0	255	255	255
LOC101929528	0	255	255	255
LOC101929709	0	255	255	255
LOC101929897	0	255	255	255
LOC102467222	0	255	255	255
LOC102723322	0	255	255	255
LOC102723729	0	255	255	255
LOC102724612	0	255	255	255
LOC102724623	0	255	255	255
LOC102724708	0	255	255	255
LOC102724710	0	255	255	255
LOC102724804	0	255	255	255
LOC102724874	0	255	255	255
LOC102725080	0	255	255	255
LOC104054148	0	255	255	255
LOC105375650	0	255	255	255
LOC105375713	0	255	255	255
LOC105375734	0	255	255	255
LOC105375744	0	255	255	255
LOC105375773	0	255	255	255
LOC105375787	0	255	255	255
LOC105375800	0	255	255	255
LOC105375843	0	255	255	255
LOC254896	0	255	255	255
LOC286059	0	255	255	255
