Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR5096	796	463	1259	892
MIR7641-2	0	1234	1234	663
ADAMTSL4	803	0	803	803
ADAMTSL4-AS1	803	0	803	803
ENSA	803	0	803	803
GOLPH3L	803	0	803	803
HORMAD1	803	0	803	803
MCL1	803	0	803	803
MIR4257	803	0	803	803
ACTN2	796	0	796	796
ADSS	796	0	796	796
AHCTF1	796	0	796	796
AKT3	796	0	796	796
ARID4B	796	0	796	796
B3GALNT2	796	0	796	796
BECN2	796	0	796	796
C1orf100	796	0	796	796
C1orf101	796	0	796	796
C1orf229	796	0	796	796
CEP170	796	0	796	796
CHML	796	0	796	796
CHRM3	796	0	796	796
CHRM3-AS1	796	0	796	796
CHRM3-AS2	796	0	796	796
CNST	796	0	796	796
COA6	796	0	796	796
COX20	796	0	796	796
DESI2	796	0	796	796
EDARADD	796	0	796	796
EFCAB2	796	0	796	796
ERO1B	796	0	796	796
EXO1	796	0	796	796
FH	796	0	796	796
FMN2	796	0	796	796
GCSAML	796	0	796	796
GCSAML-AS1	796	0	796	796
GGPS1	796	0	796	796
GNG4	796	0	796	796
GPR137B	796	0	796	796
GREM2	796	0	796	796
HEATR1	796	0	796	796
HNRNPU	796	0	796	796
IRF2BP2	796	0	796	796
KCNK1	796	0	796	796
KIF26B	796	0	796	796
KMO	796	0	796	796
LGALS8	796	0	796	796
LGALS8-AS1	796	0	796	796
LINC00184	796	0	796	796
LINC01132	796	0	796	796
LINC01139	796	0	796	796
LINC01341	796	0	796	796
LINC01347	796	0	796	796
LINC01348	796	0	796	796
LINC01354	796	0	796	796
LOC100130331	796	0	796	796
LOC101927765	796	0	796	796
LOC101927787	796	0	796	796
LOC101927851	796	0	796	796
LOC101928068	796	0	796	796
LOC101928226	796	0	796	796
LOC255654	796	0	796	796
LOC339529	796	0	796	796
LYPD8	796	0	796	796
LYST	796	0	796	796
MAP1LC3C	796	0	796	796
MIR1537	796	0	796	796
MIR3123	796	0	796	796
MIR3124	796	0	796	796
MIR3916	796	0	796	796
MIR4427	796	0	796	796
MIR4428	796	0	796	796
MIR4671	796	0	796	796
MIR4677	796	0	796	796
MIR4753	796	0	796	796
MLK4	796	0	796	796
MT1HL1	796	0	796	796
MTR	796	0	796	796
NID1	796	0	796	796
NLRP3	796	0	796	796
OPN3	796	0	796	796
OR11L1	796	0	796	796
OR13G1	796	0	796	796
OR14A16	796	0	796	796
OR14C36	796	0	796	796
OR14I1	796	0	796	796
OR1C1	796	0	796	796
OR2AK2	796	0	796	796
OR2B11	796	0	796	796
OR2C3	796	0	796	796
OR2G2	796	0	796	796
OR2G3	796	0	796	796
OR2G6	796	0	796	796
OR2L13	796	0	796	796
OR2L1P	796	0	796	796
OR2L2	796	0	796	796
OR2L3	796	0	796	796
OR2L5	796	0	796	796
OR2L8	796	0	796	796
OR2M1P	796	0	796	796
OR2M2	796	0	796	796
OR2M3	796	0	796	796
OR2M4	796	0	796	796
OR2M5	796	0	796	796
OR2M7	796	0	796	796
OR2T1	796	0	796	796
OR2T10	796	0	796	796
OR2T11	796	0	796	796
OR2T12	796	0	796	796
OR2T2	796	0	796	796
OR2T27	796	0	796	796
OR2T29	796	0	796	796
OR2T3	796	0	796	796
OR2T33	796	0	796	796
OR2T34	796	0	796	796
OR2T35	796	0	796	796
OR2T4	796	0	796	796
OR2T5	796	0	796	796
OR2T6	796	0	796	796
OR2T8	796	0	796	796
OR2W3	796	0	796	796
OR2W5	796	0	796	796
OR6F1	796	0	796	796
PCNX2	796	0	796	796
PGBD2	796	0	796	796
PLD5	796	0	796	796
RBM34	796	0	796	796
RGS7	796	0	796	796
RPS7P5	796	0	796	796
RYR2	796	0	796	796
SCCPDH	796	0	796	796
SDCCAG8	796	0	796	796
SH3BP5L	796	0	796	796
SLC35F3	796	0	796	796
SMYD3	796	0	796	796
SNORA100	796	0	796	796
SNORA14B	796	0	796	796
TARBP1	796	0	796	796
TBCE	796	0	796	796
TFB2M	796	0	796	796
TOMM20	796	0	796	796
TRIM58	796	0	796	796
VN1R5	796	0	796	796
WDR64	796	0	796	796
ZBTB18	796	0	796	796
ZNF124	796	0	796	796
ZNF496	796	0	796	796
ZNF669	796	0	796	796
ZNF670	796	0	796	796
ZNF670-ZNF695	796	0	796	796
ZNF672	796	0	796	796
ZNF692	796	0	796	796
ZNF695	796	0	796	796
ZP4	796	0	796	796
FAM138D	293	431	724	578
AFG3L1P	0	702	702	702
ANKRD11	0	702	702	702
CDK10	0	702	702	702
CENPBD1	0	702	702	702
CHMP1A	0	702	702	702
CPNE7	0	702	702	702
DBNDD1	0	702	702	702
DEF8	0	702	702	702
DPEP1	0	702	702	702
FAM157C	0	702	702	702
FANCA	0	702	702	702
GAS8	0	702	702	702
GAS8-AS1	0	702	702	702
LOC100287036	0	702	702	702
LOC101927817	0	702	702	702
LOC105371414	0	702	702	702
MC1R	0	702	702	702
PRDM7	0	702	702	702
RPL13	0	702	702	702
SNORD68	0	702	702	702
SPATA2L	0	702	702	702
SPATA33	0	702	702	702
SPG7	0	702	702	702
SPIRE2	0	702	702	702
TCF25	0	702	702	702
TUBB3	0	702	702	702
URAHP	0	702	702	702
VPS9D1	0	702	702	702
VPS9D1-AS1	0	702	702	702
ZNF276	0	702	702	702
CASC11	690	0	690	690
MYC	690	0	690	690
MAP2K4	0	655	655	655
MIR744	0	655	655	655
DUX4	0	649	649	493
FNTA	448	196	644	619
HGSNAT	448	196	644	619
POMK	448	196	644	619
POTEA	448	196	644	619
ABR	0	637	637	637
BHLHA9	0	637	637	637
C17orf97	0	637	637	637
DBIL5P	0	637	637	637
DOC2B	0	637	637	637
FAM57A	0	637	637	637
GEMIN4	0	637	637	637
GLOD4	0	637	637	637
LOC100506371	0	637	637	637
LOC100506388	0	637	637	637
LOC101927727	0	637	637	637
LOC105371430	0	637	637	637
MIR3183	0	637	637	637
MRM3	0	637	637	637
NXN	0	637	637	637
RFLNB	0	637	637	637
RPH3AL	0	637	637	637
SCGB1C2	0	637	637	637
TIMM22	0	637	637	637
TUSC5	0	637	637	637
VPS53	0	637	637	637
YWHAE	0	637	637	637
ANKRD26P1	0	577	577	577
ENPP7P13	0	577	577	577
FLJ26245	0	577	577	577
FRG2DP	0	577	577	577
HERC2P4	0	577	577	577
LINC00273	0	577	577	577
LINC01566	0	577	577	577
LOC102723753	0	577	577	577
LOC390705	0	577	577	577
SHCBP1	0	577	577	577
SLC6A10P	0	577	577	577
TP53TG3	0	577	577	577
TP53TG3B	0	577	577	577
TP53TG3C	0	577	577	577
TP53TG3D	0	577	577	577
TP53TG3E	0	577	577	577
TP53TG3F	0	577	577	577
TP53TG3HP	0	577	577	577
UBE2MP1	0	577	577	577
VPS35	0	577	577	577
ZNF267	0	577	577	577
hsa-mir-1826	0	577	577	577
CSMD1	0	568	568	568
LOC101927815	0	568	568	568
AASDHPPT	0	556	556	556
ABCG4	0	556	556	556
ACAT1	0	556	556	556
ALG9	0	556	556	556
ALKBH8	0	556	556	556
ANKK1	0	556	556	556
APOA1	0	556	556	556
APOA1-AS	0	556	556	556
APOA4	0	556	556	556
APOA5	0	556	556	556
APOC3	0	556	556	556
ARCN1	0	556	556	556
ARHGAP20	0	556	556	556
ARHGEF12	0	556	556	556
ATM	0	556	556	556
ATP5L	0	556	556	556
BACE1	0	556	556	556
BACE1-AS	0	556	556	556
BCL9L	0	556	556	556
BCO2	0	556	556	556
BTG4	0	556	556	556
BUD13	0	556	556	556
C11orf1	0	556	556	556
C11orf52	0	556	556	556
C11orf53	0	556	556	556
C11orf57	0	556	556	556
C11orf65	0	556	556	556
C11orf71	0	556	556	556
C11orf87	0	556	556	556
C11orf88	0	556	556	556
C1QTNF5	0	556	556	556
C2CD2L	0	556	556	556
CADM1	0	556	556	556
CBL	0	556	556	556
