Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	0	352	352	215
RNU6-1	51	251	302	178
RNU6-2	51	251	302	178
RNU6-7	51	251	302	178
[P3H2]	236	0	236	236
ACTRT3	230	0	230	230
CLDN11	230	0	230	230
EGFEM1P	230	0	230	230
EIF5A2	230	0	230	230
FNDC3B	230	0	230	230
GHSR	230	0	230	230
GPR160	230	0	230	230
LOC100128164	230	0	230	230
LOC100507661	230	0	230	230
LOC101928583	230	0	230	230
LOC105374205	230	0	230	230
LRRC31	230	0	230	230
LRRC34	230	0	230	230
LRRIQ4	230	0	230	230
MECOM	230	0	230	230
MIR551B	230	0	230	230
MIR569	230	0	230	230
MIR6828	230	0	230	230
MYNN	230	0	230	230
NCEH1	230	0	230	230
PHC3	230	0	230	230
PLD1	230	0	230	230
PRKCI	230	0	230	230
RPL22L1	230	0	230	230
SAMD7	230	0	230	230
SEC62	230	0	230	230
SKIL	230	0	230	230
SLC2A2	230	0	230	230
SLC7A14	230	0	230	230
TERC	230	0	230	230
TMEM212	230	0	230	230
TMEM212-AS1	230	0	230	230
TNFSF10	230	0	230	230
TNIK	230	0	230	230
MIR205	163	0	163	163
MIR205HG	163	0	163	163
ABCG4	0	159	159	159
ACAD8	0	159	159	159
ACRV1	0	159	159	159
ADAMTS15	0	159	159	159
ADAMTS8	0	159	159	159
ANKK1	0	159	159	159
APLP2	0	159	159	159
APOA1	0	159	159	159
APOA1-AS	0	159	159	159
APOA4	0	159	159	159
APOA5	0	159	159	159
APOC3	0	159	159	159
ARCN1	0	159	159	159
ARHGAP32	0	159	159	159
ARHGEF12	0	159	159	159
ATP5L	0	159	159	159
B3GAT1	0	159	159	159
BACE1	0	159	159	159
BACE1-AS	0	159	159	159
BARX2	0	159	159	159
BCL9L	0	159	159	159
BLID	0	159	159	159
BSX	0	159	159	159
BUD13	0	159	159	159
C11orf44	0	159	159	159
C11orf45	0	159	159	159
C11orf63	0	159	159	159
C11orf71	0	159	159	159
C1QTNF5	0	159	159	159
C2CD2L	0	159	159	159
CADM1	0	159	159	159
CBL	0	159	159	159
CCDC15	0	159	159	159
CCDC153	0	159	159	159
CCDC84	0	159	159	159
CD3D	0	159	159	159
CD3E	0	159	159	159
CD3G	0	159	159	159
CDON	0	159	159	159
CEP164	0	159	159	159
CHEK1	0	159	159	159
CLDN25	0	159	159	159
CLMP	0	159	159	159
CRTAM	0	159	159	159
CXCR5	0	159	159	159
DCPS	0	159	159	159
DDX25	0	159	159	159
DDX6	0	159	159	159
DPAGT1	0	159	159	159
DRD2	0	159	159	159
DSCAML1	0	159	159	159
EI24	0	159	159	159
ESAM	0	159	159	159
ETS1	0	159	159	159
FAM118B	0	159	159	159
FEZ1	0	159	159	159
FLI1	0	159	159	159
FOXR1	0	159	159	159
FOXRED1	0	159	159	159
FXYD2	0	159	159	159
FXYD6	0	159	159	159
FXYD6-FXYD2	0	159	159	159
GLB1L2	0	159	159	159
GLB1L3	0	159	159	159
GRAMD1B	0	159	159	159
GRIK4	0	159	159	159
H2AFX	0	159	159	159
HEPACAM	0	159	159	159
HEPN1	0	159	159	159
HINFP	0	159	159	159
HMBS	0	159	159	159
HSPA8	0	159	159	159
HTR3A	0	159	159	159
HTR3B	0	159	159	159
HYLS1	0	159	159	159
HYOU1	0	159	159	159
IFT46	0	159	159	159
IGSF9B	0	159	159	159
IL10RA	0	159	159	159
JAM3	0	159	159	159
JAML	0	159	159	159
KCNJ1	0	159	159	159
KCNJ5	0	159	159	159
KIRREL3	0	159	159	159
KIRREL3-AS2	0	159	159	159
KIRREL3-AS3	0	159	159	159
KMT2A	0	159	159	159
LINC00167	0	159	159	159
LINC00900	0	159	159	159
LINC01395	0	159	159	159
LOC100128239	0	159	159	159
LOC100131626	0	159	159	159
LOC100132686	0	159	159	159
LOC100507283	0	159	159	159
LOC100507431	0	159	159	159
LOC100507548	0	159	159	159
LOC100652768	0	159	159	159
LOC101928823	0	159	159	159
LOC101928847	0	159	159	159
LOC101928940	0	159	159	159
LOC101928985	0	159	159	159
LOC101929011	0	159	159	159
LOC101929089	0	159	159	159
LOC101929208	0	159	159	159
LOC101929227	0	159	159	159
LOC101929340	0	159	159	159
LOC101929427	0	159	159	159
LOC101929473	0	159	159	159
LOC101929497	0	159	159	159
LOC101929517	0	159	159	159
LOC101929538	0	159	159	159
LOC101929653	0	159	159	159
LOC102724301	0	159	159	159
LOC103611081	0	159	159	159
LOC105369507	0	159	159	159
LOC105369509	0	159	159	159
LOC105369532	0	159	159	159
LOC283140	0	159	159	159
LOC283177	0	159	159	159
LOC341056	0	159	159	159
LOC387810	0	159	159	159
LOC403312	0	159	159	159
LOC646522	0	159	159	159
LOC649133	0	159	159	159
MCAM	0	159	159	159
MIR100	0	159	159	159
MIR100HG	0	159	159	159
MIR125B1	0	159	159	159
MIR3167	0	159	159	159
MIR3656	0	159	159	159
MIR4301	0	159	159	159
MIR4492	0	159	159	159
MIR4493	0	159	159	159
MIR4697	0	159	159	159
MIR4697HG	0	159	159	159
MIR6090	0	159	159	159
MIR6716	0	159	159	159
MIR6756	0	159	159	159
MIR8052	0	159	159	159
MIRLET7A2	0	159	159	159
MPZL2	0	159	159	159
MPZL3	0	159	159	159
MSANTD2	0	159	159	159
NCAM1	0	159	159	159
NCAM1-AS1	0	159	159	159
NCAPD3	0	159	159	159
NECTIN1	0	159	159	159
NFRKB	0	159	159	159
NLRX1	0	159	159	159
NNMT	0	159	159	159
NRGN	0	159	159	159
NTM	0	159	159	159
NTM-AS1	0	159	159	159
NTM-IT	0	159	159	159
NXPE1	0	159	159	159
NXPE2	0	159	159	159
NXPE4	0	159	159	159
OAF	0	159	159	159
OPCML	0	159	159	159
OR10G4	0	159	159	159
OR10G7	0	159	159	159
OR10G8	0	159	159	159
OR10G9	0	159	159	159
OR10S1	0	159	159	159
OR4D5	0	159	159	159
OR6M1	0	159	159	159
OR6T1	0	159	159	159
OR6X1	0	159	159	159
OR8A1	0	159	159	159
OR8B12	0	159	159	159
OR8B2	0	159	159	159
OR8B3	0	159	159	159
OR8B4	0	159	159	159
OR8B8	0	159	159	159
OR8D1	0	159	159	159
OR8D2	0	159	159	159
OR8D4	0	159	159	159
OR8G1	0	159	159	159
OR8G2	0	159	159	159
OR8G5	0	159	159	159
PAFAH1B2	0	159	159	159
PANX3	0	159	159	159
PATE1	0	159	159	159
PATE2	0	159	159	159
PATE3	0	159	159	159
PATE4	0	159	159	159
PCSK7	0	159	159	159
PDZD3	0	159	159	159
PHLDB1	0	159	159	159
PKNOX2	0	159	159	159
PKNOX2-AS1	0	159	159	159
PLET1	0	159	159	159
POU2F3	0	159	159	159
PRDM10	0	159	159	159
PTS	0	159	159	159
PUS3	0	159	159	159
RBM7	0	159	159	159
REXO2	0	159	159	159
RNF214	0	159	159	159
RNF26	0	159	159	159
ROBO3	0	159	159	159
ROBO4	0	159	159	159
RPL23AP64	0	159	159	159
RPS25	0	159	159	159
RPUSD4	0	159	159	159
SC5D	0	159	159	159
SCN2B	0	159	159	159
SCN3B	0	159	159	159
SCN4B	0	159	159	159
SENCR	0	159	159	159
SIAE	0	159	159	159
SIDT2	0	159	159	159
SIK3	0	159	159	159
SLC37A2	0	159	159	159
SLC37A4	0	159	159	159
SNORD14C	0	159	159	159
SNORD14D	0	159	159	159
SNORD14E	0	159	159	159
SNX19	0	159	159	159
SORL1	0	159	159	159
SPA17	0	159	159	159
SPATA19	0	159	159	159
SRPRA	0	159	159	159
ST14	0	159	159	159
ST3GAL4	0	159	159	159
ST3GAL4-AS1	0	159	159	159
STT3A	0	159	159	159
STT3A-AS1	0	159	159	159
TAGLN	0	159	159	159
TBCEL	0	159	159	159
TBRG1	0	159	159	159
TECTA	0	159	159	159
THY1	0	159	159	159
THYN1	0	159	159	159
TIRAP	0	159	159	159
TMEM136	0	159	159	159
TMEM218	0	159	159	159
TMEM225	0	159	159	159
TMEM25	0	159	159	159
TMEM45B	0	159	159	159
TMPRSS13	0	159	159	159
TMPRSS4	0	159	159	159
TMPRSS4-AS1	0	159	159	159
TMPRSS5	0	159	159	159
TP53AIP1	0	159	159	159
TRAPPC4	0	159	159	159
TREH	0	159	159	159
TRIM29	0	159	159	159
TTC12	0	159	159	159
TTC36	0	159	159	159
UBASH3B	0	159	159	159
UBE4A	0	159	159	159
UPK2	0	159	159	159
USP2	0	159	159	159
USP2-AS1	0	159	159	159
USP28	0	159	159	159
VPS11	0	159	159	159
VPS26B	0	159	159	159
VSIG2	0	159	159	159
VWA5A	0	159	159	159
ZBTB16	0	159	159	159
ZBTB44	0	159	159	159
ZNF202	0	159	159	159
ZPR1	0	159	159	159
ZW10	0	159	159	159
ADAMTSL4	157	0	157	157
ADAMTSL4-AS1	157	0	157	157
ANP32E	157	0	157	157
ANXA9	157	0	157	157
APH1A	157	0	157	157
ARNT	157	0	157	157
BNIPL	157	0	157	157
C1orf54	157	0	157	157
C1orf56	157	0	157	157
C1orf68	157	0	157	157
C2CD4D	157	0	157	157
CA14	157	0	157	157
CDC42SE1	157	0	157	157
CELF3	157	0	157	157
CERS2	157	0	157	157
CGN	157	0	157	157
CIART	157	0	157	157
CRCT1	157	0	157	157
CRNN	157	0	157	157
CTSK	157	0	157	157
CTSS	157	0	157	157
ECM1	157	0	157	157
ENSA	157	0	157	157
FALEC	157	0	157	157
FAM63A	157	0	157	157
FLG	157	0	157	157
FLG-AS1	157	0	157	157
FLG2	157	0	157	157
GABPB2	157	0	157	157
GBAT2	157	0	157	157
GOLPH3L	157	0	157	157
HORMAD1	157	0	157	157
HRNR	157	0	157	157
KPRP	157	0	157	157
LCE1B	157	0	157	157
LCE1C	157	0	157	157
LCE1D	157	0	157	157
LCE1E	157	0	157	157
LCE1F	157	0	157	157
LCE2A	157	0	157	157
LCE2B	157	0	157	157
LCE2C	157	0	157	157
LCE2D	157	0	157	157
LCE3A	157	0	157	157
LCE3B	157	0	157	157
LCE3C	157	0	157	157
LCE3D	157	0	157	157
LCE3E	157	0	157	157
LCE4A	157	0	157	157
LCE5A	157	0	157	157
LINGO4	157	0	157	157
LOC100131107	157	0	157	157
LOC100132111	157	0	157	157
LOC100507670	157	0	157	157
LOC105371433	157	0	157	157
LYSMD1	157	0	157	157
MCL1	157	0	157	157
MIR4257	157	0	157	157
MIR554	157	0	157	157
MIR6878	157	0	157	157
MLLT11	157	0	157	157
MRPL9	157	0	157	157
MRPS21	157	0	157	157
NBPF18P	157	0	157	157
OAZ3	157	0	157	157
PI4KB	157	0	157	157
PIP5K1A	157	0	157	157
PLEKHO1	157	0	157	157
POGZ	157	0	157	157
PRPF3	157	0	157	157
PRUNE1	157	0	157	157
PSMB4	157	0	157	157
PSMD4	157	0	157	157
RFX5	157	0	157	157
RIIAD1	157	0	157	157
RORC	157	0	157	157
RPRD2	157	0	157	157
RPTN	157	0	157	157
S100A10	157	0	157	157
S100A11	157	0	157	157
SCNM1	157	0	157	157
SELENBP1	157	0	157	157
SEMA6C	157	0	157	157
SETDB1	157	0	157	157
SNX27	157	0	157	157
TARS2	157	0	157	157
TCHH	157	0	157	157
TCHHL1	157	0	157	157
TDRKH	157	0	157	157
THEM4	157	0	157	157
THEM5	157	0	157	157
TMOD4	157	0	157	157
TNFAIP8L2	157	0	157	157
TNFAIP8L2-SCNM1	157	0	157	157
TUFT1	157	0	157	157
VPS45	157	0	157	157
VPS72	157	0	157	157
ZNF687	157	0	157	157
RNU6-8	0	148	148	107
AHRR	141	0	141	141
BRD9	141	0	141	141
CCDC127	141	0	141	141
CEP72	141	0	141	141
CTD-3080P12.3	141	0	141	141
EXOC3	141	0	141	141
EXOC3-AS1	141	0	141	141
HRAT5	141	0	141	141
LOC100288152	141	0	141	141
LOC100506688	141	0	141	141
LOC100996325	141	0	141	141
LRRC14B	141	0	141	141
MIR4456	141	0	141	141
MIR4635	141	0	141	141
NKD2	141	0	141	141
PDCD6	141	0	141	141
PLEKHG4B	141	0	141	141
PP7080	141	0	141	141
SDHA	141	0	141	141
SLC12A7	141	0	141	141
SLC6A18	141	0	141	141
SLC6A19	141	0	141	141
SLC9A3	141	0	141	141
TERT	141	0	141	141
TPPP	141	0	141	141
TRIP13	141	0	141	141
ZDHHC11	141	0	141	141
A1BG	95	40	135	126
A1BG-AS1	95	40	135	126
ABALON	135	0	135	135
AURKC	95	40	135	126
BCL2L1	135	0	135	135
BRSK1	95	40	135	126
C19orf18	95	40	135	126
CACNG6	95	40	135	126
CACNG7	95	40	135	126
CACNG8	95	40	135	126
