Hugo_Symbol	Amp	Del	total	AlteredSamples
ABHD16B	326	0	326	326
ADRM1	326	0	326	326
ARFGAP1	326	0	326	326
ARFRP1	326	0	326	326
BCAS1	326	0	326	326
BHLHE23	326	0	326	326
BIRC7	326	0	326	326
C20orf166-AS1	326	0	326	326
CABLES2	326	0	326	326
CDH4	326	0	326	326
CHRNA4	326	0	326	326
COL20A1	326	0	326	326
COL9A3	326	0	326	326
CYP24A1	326	0	326	326
DIDO1	326	0	326	326
DNAJC5	326	0	326	326
DOK5	326	0	326	326
DPH3P1	326	0	326	326
EEF1A2	326	0	326	326
FLJ16779	326	0	326	326
FNDC11	326	0	326	326
GATA5	326	0	326	326
GID8	326	0	326	326
GMEB2	326	0	326	326
HAR1A	326	0	326	326
HAR1B	326	0	326	326
HELZ2	326	0	326	326
HRH3	326	0	326	326
KCNQ2	326	0	326	326
LAMA5	326	0	326	326
LAMA5-AS1	326	0	326	326
LIME1	326	0	326	326
LINC00029	326	0	326	326
LINC00176	326	0	326	326
LINC00266-1	326	0	326	326
LINC00659	326	0	326	326
LINC01056	326	0	326	326
LKAAEAR1	326	0	326	326
LOC100130587	326	0	326	326
LOC100505771	326	0	326	326
LOC101927770	326	0	326	326
LOC105372672	326	0	326	326
LOC63930	326	0	326	326
LSM14B	326	0	326	326
MIR1-1	326	0	326	326
MIR1-1HG	326	0	326	326
MIR124-3	326	0	326	326
MIR1257	326	0	326	326
MIR133A2	326	0	326	326
MIR1914	326	0	326	326
MIR3195	326	0	326	326
MIR3196	326	0	326	326
MIR4326	326	0	326	326
MIR4756	326	0	326	326
MIR4758	326	0	326	326
MIR647	326	0	326	326
MIR6813	326	0	326	326
MIR941-1	326	0	326	326
MIR941-2	326	0	326	326
MIR941-3	326	0	326	326
MIR941-4	326	0	326	326
MRGBP	326	0	326	326
MTG2	326	0	326	326
MYT1	326	0	326	326
NKAIN4	326	0	326	326
NPBWR2	326	0	326	326
NTSR1	326	0	326	326
OGFR	326	0	326	326
OGFR-AS1	326	0	326	326
OPRL1	326	0	326	326
OSBPL2	326	0	326	326
PCMTD2	326	0	326	326
PFDN4	326	0	326	326
PPDPF	326	0	326	326
PRPF6	326	0	326	326
PSMA7	326	0	326	326
PTK6	326	0	326	326
RBBP8NL	326	0	326	326
RGS19	326	0	326	326
RPS21	326	0	326	326
RTEL1	326	0	326	326
RTEL1-TNFRSF6B	326	0	326	326
SAMD10	326	0	326	326
SLC17A9	326	0	326	326
SLC2A4RG	326	0	326	326
SLCO4A1	326	0	326	326
SLCO4A1-AS1	326	0	326	326
SOX18	326	0	326	326
SRMS	326	0	326	326
SS18L1	326	0	326	326
STMN3	326	0	326	326
SUMO1P1	326	0	326	326
TAF4	326	0	326	326
TCEA2	326	0	326	326
TCFL5	326	0	326	326
TNFRSF6B	326	0	326	326
TPD52L2	326	0	326	326
TSHZ2	326	0	326	326
UCKL1	326	0	326	326
UCKL1-AS1	326	0	326	326
YTHDF1	326	0	326	326
ZBTB46	326	0	326	326
ZBTB46-AS1	326	0	326	326
ZGPAT	326	0	326	326
ZNF217	326	0	326	326
ZNF512B	326	0	326	326
hsa-mir-941-3	326	0	326	326
ADA	325	0	325	325
FITM2	325	0	325	325
GDAP1L1	325	0	325	325
HNF4A	325	0	325	325
HNF4A-AS1	325	0	325	325
JPH2	325	0	325	325
KCNK15	325	0	325	325
KCNK15-AS1	325	0	325	325
LINC01260	325	0	325	325
LINC01430	325	0	325	325
LINC01620	325	0	325	325
LOC105372626	325	0	325	325
MIR3646	325	0	325	325
OSER1	325	0	325	325
OSER1-AS1	325	0	325	325
PKIG	325	0	325	325
R3HDML	325	0	325	325
RIMS4	325	0	325	325
SERINC3	325	0	325	325
TOX2	325	0	325	325
TTPAL	325	0	325	325
WISP2	325	0	325	325
YWHAB	325	0	325	325
ABALON	323	0	323	323
BCL2L1	323	0	323	323
COX4I2	323	0	323	323
DEFB115	323	0	323	323
DEFB116	323	0	323	323
DEFB118	323	0	323	323
DEFB119	323	0	323	323
DEFB121	323	0	323	323
DEFB122	323	0	323	323
DEFB123	323	0	323	323
DEFB124	323	0	323	323
DUSP15	323	0	323	323
FOXS1	323	0	323	323
FRG1BP	323	0	323	323
FRG1CP	323	0	323	323
FRG1DP	323	0	323	323
FRG2EP	323	0	323	323
HM13	323	0	323	323
HM13-AS1	323	0	323	323
ID1	323	0	323	323
LINC00028	323	0	323	323
LINC01598	323	0	323	323
LOC105379477	323	0	323	323
MIR3193	323	0	323	323
MIR4477A	323	0	323	323
MLLT10P1	323	0	323	323
MYLK2	323	0	323	323
REM1	323	0	323	323
TPX2	323	0	323	323
LETM2	165	156	321	272
WHSC1L1	165	156	321	272
ERLIN2	150	156	306	273
KCNU1	150	156	306	273
LINC01605	150	156	306	273
LOC101929622	150	156	306	273
LOC102723701	150	156	306	273
LOC728024	150	156	306	273
ZNF703	150	156	306	273
ABCC13	0	294	294	162
HSPA13	0	294	294	162
LIPI	0	294	294	162
LOC388813	0	294	294	162
NRIP1	0	294	294	162
RBM11	0	294	294	162
SAMSN1	0	294	294	162
SAMSN1-AS1	0	294	294	162
USP25	0	294	294	162
[LINC00392]	290	0	290	290
ELAC1	0	287	287	287
SMAD4	0	287	287	287
[USP12]	277	0	277	277
LINC00907	0	276	276	276
MIR4318	0	273	273	273
MIR924	0	273	273	273
CASC8	263	0	263	263
POU5F1B	263	0	263	263
DNAH9	0	255	255	255
MAP2K4	0	255	255	255
MIR744	0	255	255	255
NINL	255	0	255	255
ZNF18	0	255	255	255
EGFR	250	0	250	250
EGFR-AS1	250	0	250	250
ELDR	250	0	250	250
FKBP9P1	250	0	250	250
HPVC1	250	0	250	250
LANCL2	250	0	250	250
LINC01445	250	0	250	250
LOC100996654	250	0	250	250
SEC61G	250	0	250	250
VOPP1	250	0	250	250
VSTM2A	250	0	250	250
VSTM2A-OT1	250	0	250	250
DLGAP1	0	247	247	247
DLGAP1-AS1	0	247	247	247
DLGAP1-AS2	0	247	247	247
DLGAP1-AS3	0	247	247	247
GAPLINC	0	247	247	247
MIR6718	0	247	247	247
TGIF1	0	247	247	247
FOXA2	242	0	242	242
LINC00261	242	0	242	242
LINC01384	242	0	242	242
LINC01427	242	0	242	242
LINC01432	242	0	242	242
LOC284788	242	0	242	242
ANKRD7	237	0	237	237
ASZ1	237	0	237	237
CFTR	237	0	237	237
CTTNBP2	237	0	237	237
LSM8	237	0	237	237
WNT2	237	0	237	237
MIR7641-2	87	143	230	170
CFAP61	228	0	228	228
CRNKL1	228	0	228	228
INSM1	228	0	228	228
LOC100130264	228	0	228	228
NAA20	228	0	228	228
RALGAPA2	228	0	228	228
RIN2	228	0	228	228
SLC24A3	228	0	228	228
ADAM33	203	0	203	203
ADRA1D	203	0	203	203
ANGPT4	203	0	203	203
ANKEF1	203	0	203	203
AP5S1	203	0	203	203
ATRN	203	0	203	203
AVP	203	0	203	203
BMP2	203	0	203	203
BTBD3	203	0	203	203
C20orf141	203	0	203	203
C20orf194	203	0	203	203
C20orf196	203	0	203	203
C20orf202	203	0	203	203
C20orf27	203	0	203	203
C20orf96	203	0	203	203
CASC20	203	0	203	203
CDC25B	203	0	203	203
CDS2	203	0	203	203
CENPB	203	0	203	203
CHGB	203	0	203	203
CPXM1	203	0	203	203
CRLS1	203	0	203	203
CSNK2A1	203	0	203	203
DDRGK1	203	0	203	203
DEFB125	203	0	203	203
DEFB126	203	0	203	203
DEFB127	203	0	203	203
DEFB128	203	0	203	203
DEFB129	203	0	203	203
DEFB132	203	0	203	203
EBF4	203	0	203	203
FAM110A	203	0	203	203
FASTKD5	203	0	203	203
FERMT1	203	0	203	203
FKBP1A	203	0	203	203
FKBP1A-SDCBP2	203	0	203	203
GFRA4	203	0	203	203
GNRH2	203	0	203	203
GPCPD1	203	0	203	203
HAO1	203	0	203	203
HSPA12B	203	0	203	203
IDH3B	203	0	203	203
ITPA	203	0	203	203
JAG1	203	0	203	203
LAMP5	203	0	203	203
LAMP5-AS1	203	0	203	203
LINC00654	203	0	203	203
LINC00658	203	0	203	203
LINC00687	203	0	203	203
LINC01428	203	0	203	203
LINC01433	203	0	203	203
LOC100289473	203	0	203	203
LOC101929125	203	0	203	203
LOC101929207	203	0	203	203
LOC101929288	203	0	203	203
LOC101929312	203	0	203	203
LOC101929371	203	0	203	203
LOC101929395	203	0	203	203
LOC101929413	203	0	203	203
LOC101929486	203	0	203	203
LOC105372493	203	0	203	203
LOC339593	203	0	203	203
LOC388780	203	0	203	203
LOC643406	203	0	203	203
LOC727993	203	0	203	203
LRRN4	203	0	203	203
LZTS3	203	0	203	203
MAVS	203	0	203	203
MCM8	203	0	203	203
MCM8-AS1	203	0	203	203
MIR103A2	203	0	203	203
MIR103B2	203	0	203	203
MIR1292	203	0	203	203
MIR6869	203	0	203	203
MIR6870	203	0	203	203
MIR8062	203	0	203	203
MKKS	203	0	203	203
MRPS26	203	0	203	203
NOP56	203	0	203	203
NRSN2	203	0	203	203
NRSN2-AS1	203	0	203	203
NSFL1C	203	0	203	203
OXT	203	0	203	203
PAK5	203	0	203	203
PANK2	203	0	203	203
PCED1A	203	0	203	203
PCNA	203	0	203	203
PCNA-AS1	203	0	203	203
PDYN	203	0	203	203
PLCB1	203	0	203	203
PLCB1-IT1	203	0	203	203
PLCB4	203	0	203	203
PRND	203	0	203	203
PRNP	203	0	203	203
PRNT	203	0	203	203
PROKR2	203	0	203	203
PSMF1	203	0	203	203
PTPRA	203	0	203	203
RAD21L1	203	0	203	203
RASSF2	203	0	203	203
RBCK1	203	0	203	203
RNF24	203	0	203	203
RNU105B	203	0	203	203
RSPO4	203	0	203	203
SCRT2	203	0	203	203
SDCBP2	203	0	203	203
SDCBP2-AS1	203	0	203	203
SIGLEC1	203	0	203	203
SIRPA	203	0	203	203
SIRPB1	203	0	203	203
SIRPB2	203	0	203	203
SIRPD	203	0	203	203
SIRPG	203	0	203	203
SIRPG-AS1	203	0	203	203
SLC23A2	203	0	203	203
SLC4A11	203	0	203	203
SLC52A3	203	0	203	203
SLX4IP	203	0	203	203
SMOX	203	0	203	203
SNAP25	203	0	203	203
SNAP25-AS1	203	0	203	203
SNORA51	203	0	203	203
SNORD110	203	0	203	203
SNORD119	203	0	203	203
SNORD56	203	0	203	203
SNORD57	203	0	203	203
SNORD86	203	0	203	203
SNPH	203	0	203	203
SNRPB	203	0	203	203
SOX12	203	0	203	203
SPEF1	203	0	203	203
SRXN1	203	0	203	203
STK35	203	0	203	203
TBC1D20	203	0	203	203
TCF15	203	0	203	203
TGM3	203	0	203	203
TGM6	203	0	203	203
TMC2	203	0	203	203
TMEM230	203	0	203	203
TMEM239	203	0	203	203
TMEM74B	203	0	203	203
TMX4	203	0	203	203
TRIB3	203	0	203	203
TRMT6	203	0	203	203
UBOX5	203	0	203	203
UBOX5-AS1	203	0	203	203
VPS16	203	0	203	203
ZCCHC3	203	0	203	203
ZNF343	203	0	203	203
APBA2	0	192	192	192
ARHGAP11B	0	192	192	192
ARHGEF10	0	192	192	192
ATP10A	0	192	192	192
CHEK2P2	0	192	192	192
CHRFAM7A	0	192	192	192
CLN8	0	192	192	192
CSMD1	0	192	192	192
CXADRP2	0	192	192	192
CYFIP1	0	192	192	192
DKFZP434L187	0	192	192	192
DLGAP2	0	192	192	192
DLGAP2-AS1	0	192	192	192
ERICH1	0	192	192	192
ERICH1-AS1	0	192	192	192
FAM189A1	0	192	192	192
FAM87A	0	192	192	192
FBXO25	0	192	192	192
GABRA5	0	192	192	192
GABRB3	0	192	192	192
GABRG3	0	192	192	192
GABRG3-AS1	0	192	192	192
GOLGA6L1	0	192	192	192
GOLGA6L2	0	192	192	192
GOLGA6L22	0	192	192	192
GOLGA6L6	0	192	192	192
GOLGA6L7P	0	192	192	192
GOLGA8CP	0	192	192	192
GOLGA8DP	0	192	192	192
GOLGA8EP	0	192	192	192
GOLGA8F	0	192	192	192
GOLGA8G	0	192	192	192
GOLGA8H	0	192	192	192
GOLGA8IP	0	192	192	192
GOLGA8J	0	192	192	192
GOLGA8M	0	192	192	192
GOLGA8N	0	192	192	192
GOLGA8R	0	192	192	192
GOLGA8S	0	192	192	192
GOLGA8T	0	192	192	192
HERC2	0	192	192	192
HERC2P10	0	192	192	192
HERC2P2	0	192	192	192
HERC2P3	0	192	192	192
HERC2P7	0	192	192	192
HERC2P9	0	192	192	192
IGHV1OR15-1	0	192	192	192
IGHV1OR15-3	0	192	192	192
IPW	0	192	192	192
KBTBD11	0	192	192	192
KBTBD11-OT1	0	192	192	192
LINC00929	0	192	192	192
LINC01193	0	192	192	192
LOC100128714	0	192	192	192
LOC100130111	0	192	192	192
LOC100288637	0	192	192	192
LOC100289656	0	192	192	192
LOC101927079	0	192	192	192
LOC101927752	0	192	192	192
LOC101927815	0	192	192	192
LOC101928042	0	192	192	192
LOC101928058	0	192	192	192
LOC283683	0	192	192	192
LOC286083	0	192	192	192
LOC401442	0	192	192	192
LOC646214	0	192	192	192
LOC727924	0	192	192	192
MAGEL2	0	192	192	192
MIR1268A	0	192	192	192
MIR3118-2	0	192	192	192
MIR3118-3	0	192	192	192
MIR3118-4	0	192	192	192
MIR3674	0	192	192	192
MIR4508	0	192	192	192
MIR4509-1	0	192	192	192
MIR4509-2	0	192	192	192
MIR4715	0	192	192	192
MIR5701-1	0	192	192	192
MIR5701-2	0	192	192	192
MIR596	0	192	192	192
MIR7160	0	192	192	192
MKRN3	0	192	192	192
MYOM2	0	192	192	192
NBEAP1	0	192	192	192
NDN	0	192	192	192
NF1P2	0	192	192	192
NIPA1	0	192	192	192
NIPA2	0	192	192	192
NPAP1	0	192	192	192
NSMCE3	0	192	192	192
OCA2	0	192	192	192
OR4F21	0	192	192	192
OR4M2	0	192	192	192
OR4N3P	0	192	192	192
OR4N4	0	192	192	192
PDCD6IPP2	0	192	192	192
POTEB	0	192	192	192
POTEB2	0	192	192	192
POTEB3	0	192	192	192
PWAR1	0	192	192	192
PWAR4	0	192	192	192
PWAR5	0	192	192	192
PWARSN	0	192	192	192
PWRN1	0	192	192	192
PWRN2	0	192	192	192
PWRN3	0	192	192	192
PWRN4	0	192	192	192
REREP3	0	192	192	192
RPL23AP53	0	192	192	192
SNORD107	0	192	192	192
SNORD108	0	192	192	192
SNORD109A	0	192	192	192
SNORD115-1	0	192	192	192
SNORD115-10	0	192	192	192
SNORD115-11	0	192	192	192
SNORD115-12	0	192	192	192
SNORD115-13	0	192	192	192
SNORD115-14	0	192	192	192
SNORD115-15	0	192	192	192
SNORD115-16	0	192	192	192
SNORD115-17	0	192	192	192
SNORD115-18	0	192	192	192
SNORD115-2	0	192	192	192
SNORD115-20	0	192	192	192
SNORD115-21	0	192	192	192
SNORD115-22	0	192	192	192
SNORD115-23	0	192	192	192
SNORD115-24	0	192	192	192
SNORD115-25	0	192	192	192
SNORD115-26	0	192	192	192
SNORD115-27	0	192	192	192
SNORD115-28	0	192	192	192
SNORD115-29	0	192	192	192
SNORD115-3	0	192	192	192
SNORD115-30	0	192	192	192
SNORD115-31	0	192	192	192
SNORD115-32	0	192	192	192
SNORD115-33	0	192	192	192
SNORD115-34	0	192	192	192
SNORD115-35	0	192	192	192
SNORD115-36	0	192	192	192
SNORD115-37	0	192	192	192
SNORD115-38	0	192	192	192
SNORD115-39	0	192	192	192
SNORD115-4	0	192	192	192
SNORD115-41	0	192	192	192
SNORD115-44	0	192	192	192
SNORD115-45	0	192	192	192
SNORD115-46	0	192	192	192
SNORD115-47	0	192	192	192
SNORD115-48	0	192	192	192
SNORD115-5	0	192	192	192
SNORD115-6	0	192	192	192
SNORD115-7	0	192	192	192
SNORD115-8	0	192	192	192
SNORD116-1	0	192	192	192
SNORD116-10	0	192	192	192
SNORD116-11	0	192	192	192
SNORD116-12	0	192	192	192
SNORD116-13	0	192	192	192
SNORD116-14	0	192	192	192
SNORD116-15	0	192	192	192
SNORD116-16	0	192	192	192
SNORD116-17	0	192	192	192
SNORD116-18	0	192	192	192
SNORD116-2	0	192	192	192
SNORD116-20	0	192	192	192
SNORD116-21	0	192	192	192
SNORD116-22	0	192	192	192
SNORD116-23	0	192	192	192
SNORD116-24	0	192	192	192
SNORD116-25	0	192	192	192
SNORD116-26	0	192	192	192
SNORD116-27	0	192	192	192
SNORD116-28	0	192	192	192
SNORD116-29	0	192	192	192
SNORD116-3	0	192	192	192
SNORD116-30	0	192	192	192
SNORD116-4	0	192	192	192
SNORD116-5	0	192	192	192
SNORD116-8	0	192	192	192
SNORD64	0	192	192	192
SNRPN	0	192	192	192
SNURF	0	192	192	192
TDRP	0	192	192	192
TJP1	0	192	192	192
TUBGCP5	0	192	192	192
UBE3A	0	192	192	192
ULK4P1	0	192	192	192
ULK4P3	0	192	192	192
WHAMMP2	0	192	192	192
WHAMMP3	0	192	192	192
ZNF596	0	192	192	192
LOC284933	0	191	191	191
MIR3201	0	191	191	191
AP3M2	187	0	187	187
DKK4	187	0	187	187
IKBKB	187	0	187	187
KAT6A	187	0	187	187
LOC101929897	187	0	187	187
LOC105379393	187	0	187	187
PLAT	187	0	187	187
POLB	187	0	187	187
SLC20A2	187	0	187	187
VDAC3	187	0	187	187
AIM1L	0	173	173	173
ARID1A	0	173	173	173
CD52	0	173	173	173
CEP85	0	173	173	173
DHDDS	0	173	173	173
FAM46B	0	173	173	173
GPATCH3	0	173	173	173
GPN2	0	173	173	173
HMGN2	0	173	173	173
KDF1	0	173	173	173
LIN28A	0	173	173	173
LOC101928303	0	173	173	173
LOC101928324	0	173	173	173
LOC101928728	0	173	173	173
MIR1976	0	173	173	173
NR0B2	0	173	173	173
NUDC	0	173	173	173
PIGV	0	173	173	173
RPS6KA1	0	173	173	173
SFN	0	173	173	173
SH3BGRL3	0	173	173	173
SLC9A1	0	173	173	173
TRNP1	0	173	173	173
UBXN11	0	173	173	173
WDTC1	0	173	173	173
ZDHHC18	0	173	173	173
ZNF683	0	173	173	173
ACTC1	0	170	170	170
ADAL	0	170	170	170
ANKRD63	0	170	170	170
ANP32AP1	0	170	170	170
AQR	0	170	170	170
AVEN	0	170	170	170
BAHD1	0	170	170	170
BMF	0	170	170	170
BUB1B	0	170	170	170
BUB1B-PAK6	0	170	170	170
C15orf41	0	170	170	170
C15orf52	0	170	170	170
C15orf53	0	170	170	170
C15orf54	0	170	170	170
C15orf56	0	170	170	170
C15orf57	0	170	170	170
C15orf62	0	170	170	170
CAPN3	0	170	170	170
CATSPER2	0	170	170	170
CATSPER2P1	0	170	170	170
CCNDBP1	0	170	170	170
CDAN1	0	170	170	170
CHAC1	0	170	170	170
CHP1	0	170	170	170
CHRM5	0	170	170	170
CHST14	0	170	170	170
CKMT1A	0	170	170	170
CKMT1B	0	170	170	170
CSNK1A1P1	0	170	170	170
DISP2	0	170	170	170
DLL4	0	170	170	170
DNAJC17	0	170	170	170
DPH6	0	170	170	170
DPH6-AS1	0	170	170	170
EHD4	0	170	170	170
EHD4-AS1	0	170	170	170
EIF2AK4	0	170	170	170
ELL3	0	170	170	170
EMC4	0	170	170	170
EMC7	0	170	170	170
EPB42	0	170	170	170
EXD1	0	170	170	170
FAM98B	0	170	170	170
FMN1	0	170	170	170
FRMD5	0	170	170	170
FSIP1	0	170	170	170
GANC	0	170	170	170
GCHFR	0	170	170	170
GJD2	0	170	170	170
GOLGA8A	0	170	170	170
GOLGA8B	0	170	170	170
GPR176	0	170	170	170
HAUS2	0	170	170	170
HYPK	0	170	170	170
