Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	0	248	248	131
MIR1302-10	52	163	215	134
MIR1302-11	52	163	215	134
MIR1302-2	52	163	215	134
MIR1302-9	52	163	215	134
MIR6859-1	52	138	190	124
MIR6859-2	52	138	190	124
MIR6859-3	52	138	190	124
FAM138A	0	163	163	120
FAM138C	0	163	163	120
RNU1-1	85	76	161	119
RNU1-2	85	76	161	119
RNU1-3	85	76	161	119
RNU1-4	85	76	161	119
ANK1	75	74	149	126
AP3M2	75	74	149	126
IKBKB	75	74	149	126
KAT6A	75	74	149	126
LOC101929897	75	74	149	126
LOC105379393	75	74	149	126
PLAT	75	74	149	126
FAM138D	68	76	144	108
CASC21	141	0	141	141
CASC8	141	0	141	141
CDKN2A	0	134	134	134
CDKN2A-AS1	0	134	134	134
ACTRT3	127	0	127	127
LOC100128164	127	0	127	127
LRRC31	127	0	127	127
LRRC34	127	0	127	127
LRRIQ4	127	0	127	127
MYNN	127	0	127	127
SAMD7	127	0	127	127
SEC62	127	0	127	127
TERC	127	0	127	127
SNORA59A	0	123	123	95
EGFR	121	0	121	121
EGFR-AS1	121	0	121	121
ELDR	121	0	121	121
MIR944	121	0	121	121
P3H2	121	0	121	121
TP63	121	0	121	121
FHIT	0	120	120	120
MIR548BB	0	120	120	120
CACNA2D3	0	119	119	119
CACNA2D3-AS1	0	119	119	119
ESRG	0	119	119	119
LRTM1	0	119	119	119
CCNE1	56	57	113	89
URI1	56	57	113	89
SMAD4	0	112	112	112
LRRN1	0	110	110	110
SETMAR	0	110	110	110
ANKIB1	108	0	108	108
CALCR	108	0	108	108
CDK6	108	0	108	108
ERVW-1	108	0	108	108
FAM133B	108	0	108	108
GATAD1	108	0	108	108
HEPACAM2	108	0	108	108
KRIT1	108	0	108	108
LOC101927497	108	0	108	108
LOC105375396	108	0	108	108
MIR489	108	0	108	108
MIR653	108	0	108	108
PEX1	108	0	108	108
RBM48	108	0	108	108
SAMD9	108	0	108	108
SAMD9L	108	0	108	108
VPS50	108	0	108	108
CUL2	52	55	107	91
MIR3611	52	55	107	91
MIR4318	0	107	107	107
MIR5583-1	0	107	107	107
MIR5583-2	0	107	107	107
MIR924	0	107	107	107
ATG7	0	106	106	106
VGLL4	0	106	106	106
MIR582	0	104	104	104
PART1	0	104	104	104
PDE4D	0	104	104	104
A1CF	0	103	103	61
ACTR3BP5	0	103	103	61
ADAMTS14	0	103	103	61
ADO	0	103	103	61
AGAP12P	0	103	103	61
AGAP4	0	103	103	61
AGAP6	0	103	103	61
AGAP7P	0	103	103	61
AGAP9	0	103	103	61
AIFM2	0	103	103	61
ALOX5	0	103	103	61
ANK3	0	103	103	61
ANKRD30BP3	0	103	103	61
ANTXRL	0	103	103	61
ANTXRLP1	0	103	103	61
ANXA2P3	0	103	103	61
ANXA8	0	103	103	61
ANXA8L1	0	103	103	61
ARHGAP22	0	103	103	61
ARID5B	0	103	103	61
ASAH2	0	103	103	61
ASAH2B	0	103	103	61
ATOH7	0	103	103	61
BICC1	0	103	103	61
BMS1	0	103	103	61
BMS1P5	0	103	103	61
BMS1P6	0	103	103	61
C10orf10	0	103	103	61
C10orf107	0	103	103	61
C10orf128	0	103	103	61
C10orf142	0	103	103	61
C10orf25	0	103	103	61
C10orf35	0	103	103	61
C10orf53	0	103	103	61
C10orf71	0	103	103	61
C10orf71-AS1	0	103	103	61
CCAR1	0	103	103	61
CCDC6	0	103	103	61
CCEPR	0	103	103	61
CCNYL2	0	103	103	61
CDK1	0	103	103	61
CH17-360D5.1	0	103	103	61
CHAT	0	103	103	61
CISD1	0	103	103	61
COL13A1	0	103	103	61
CSGALNACT2	0	103	103	61
CSTF2T	0	103	103	61
CTNNA3	0	103	103	61
CTSLP2	0	103	103	61
CXCL12	0	103	103	61
DDX21	0	103	103	61
DDX50	0	103	103	61
DKK1	0	103	103	61
DNA2	0	103	103	61
DNAJC12	0	103	103	61
DRGX	0	103	103	61
EGR2	0	103	103	61
EIF4EBP2	0	103	103	61
ERCC6	0	103	103	61
FAM133CP	0	103	103	61
FAM13C	0	103	103	61
FAM170B	0	103	103	61
FAM170B-AS1	0	103	103	61
FAM21A	0	103	103	61
FAM21C	0	103	103	61
FAM21EP	0	103	103	61
FAM25BP	0	103	103	61
FAM25C	0	103	103	61
FAM25G	0	103	103	61
FAM35BP	0	103	103	61
FAM35DP	0	103	103	61
FRMPD2	0	103	103	61
FRMPD2B	0	103	103	61
FXYD4	0	103	103	61
GDF10	0	103	103	61
GDF2	0	103	103	61
