Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR4444-1	113	372	485	386
MIR548K	478	0	478	239
PPFIA1	478	0	478	239
CASC19	401	0	401	401
CASC21	401	0	401	401
CASC8	401	0	401	401
CCAT1	401	0	401	401
CCAT2	401	0	401	401
POU5F1B	401	0	401	401
MIR1302-10	102	295	397	282
MIR1302-11	102	295	397	282
MIR1302-2	102	295	397	282
MIR1302-9	102	295	397	282
P3H2	395	0	395	395
TP63	395	0	395	395
FLJ46066	388	0	388	388
LINC01206	388	0	388	388
LOC102724604	388	0	388	388
LOC105374244	388	0	388	388
SOX2	388	0	388	388
SOX2-OT	388	0	388	388
RNU1-1	132	254	386	259
RNU1-2	132	254	386	259
RNU1-3	132	254	386	259
RNU1-4	132	254	386	259
FHIT	0	381	381	381
MIR548BB	0	381	381	381
PTPRG	0	381	381	381
TGFBR2	0	374	374	374
FAM86DP	0	372	372	372
FRG2C	0	372	372	372
GBE1	0	372	372	372
LINC00960	0	372	372	372
LINC00971	0	372	372	372
LOC101927374	0	372	372	372
LOC728290	0	372	372	372
MIR1324	0	372	372	372
MIR3923	0	372	372	372
MIR4273	0	372	372	372
ROBO1	0	372	372	372
ROBO2	0	372	372	372
ZNF717	0	372	372	372
C8orf22	316	0	316	316
EFCAB1	316	0	316	316
LOC101929217	316	0	316	316
LOC101929268	316	0	316	316
SNAI2	316	0	316	316
CDKN2A	0	313	313	313
CDKN2A-AS1	0	313	313	313
CSMD1	0	309	309	309
LOC101927815	0	309	309	309
ADNP2	0	297	297	297
ATP9B	0	297	297	297
C18orf65	0	297	297	297
CTDP1	0	297	297	297
GALR1	0	297	297	297
HSBP1L1	0	297	297	297
KCNG2	0	297	297	297
LINC00683	0	297	297	297
LINC00908	0	297	297	297
LINC01029	0	297	297	297
LOC100131655	0	297	297	297
LOC100505853	0	297	297	297
LOC101927651	0	297	297	297
LOC101927989	0	297	297	297
LOC284241	0	297	297	297
LOC339298	0	297	297	297
LOC400661	0	297	297	297
MBP	0	297	297	297
NFATC1	0	297	297	297
PARD6G	0	297	297	297
PARD6G-AS1	0	297	297	297
PQLC1	0	297	297	297
RBFA	0	297	297	297
RBFADN	0	297	297	297
SALL3	0	297	297	297
SMIM21	0	297	297	297
TXNL4A	0	297	297	297
ZNF236	0	297	297	297
ZNF516	0	297	297	297
FAM138A	0	295	295	238
FAM138C	0	295	295	238
RNU6-1	0	295	295	238
RNU6-2	0	295	295	238
RNU6-7	0	295	295	238
FAM138D	179	104	283	230
ANKRD34A	132	150	282	232
ANKRD35	132	150	282	232
CD160	132	150	282	232
CH17-408M7.1	132	150	282	232
DRD5P2	132	150	282	232
EMBP1	132	150	282	232
FAM231D	132	150	282	232
FAM72B	132	150	282	232
FAM72C	132	150	282	232
FAM72D	132	150	282	232
FCGR1B	132	150	282	232
FCGR1CP	132	150	282	232
GNRHR2	132	150	282	232
GPR89A	132	150	282	232
HFE2	132	150	282	232
HIST2H2BA	132	150	282	232
ITGA10	132	150	282	232
LINC00623	132	150	282	232
LIX1L	132	150	282	232
LOC101927429	132	150	282	232
LOC101928979	132	150	282	232
LOC101929798	132	150	282	232
LOC103091866	132	150	282	232
LOC388692	132	150	282	232
LOC645166	132	150	282	232
MIR6736	132	150	282	232
NBPF10	132	150	282	232
NBPF15	132	150	282	232
NBPF20	132	150	282	232
NBPF25P	132	150	282	232
NBPF8	132	150	282	232
NOTCH2	132	150	282	232
NOTCH2NL	132	150	282	232
NUDT17	132	150	282	232
NUDT4P1	132	150	282	232
NUDT4P2	132	150	282	232
PDZK1	132	150	282	232
PEX11B	132	150	282	232
PFN1P2	132	150	282	232
PIAS3	132	150	282	232
POLR3C	132	150	282	232
POLR3GL	132	150	282	232
PPIAL4A	132	150	282	232
PPIAL4D	132	150	282	232
PPIAL4E	132	150	282	232
RBM8A	132	150	282	232
RNF115	132	150	282	232
RNVU1-14	132	150	282	232
RNVU1-15	132	150	282	232
RNVU1-17	132	150	282	232
RNVU1-19	132	150	282	232
RNVU1-20	132	150	282	232
RNVU1-4	132	150	282	232
RNVU1-6	132	150	282	232
SEC22B	132	150	282	232
SRGAP2-AS1	132	150	282	232
SRGAP2B	132	150	282	232
SRGAP2C	132	150	282	232
SRGAP2D	132	150	282	232
TXNIP	132	150	282	232
MIR7641-2	0	278	278	238
LOC105375972	0	252	252	252
PTPRD	0	252	252	252
PTPRD-AS1	0	252	252	252
CLPTM1L	249	0	249	249
CTD-3080P12.3	249	0	249	249
LINC01511	249	0	249	249
LOC100506688	249	0	249	249
MIR4457	249	0	249	249
MIR4635	249	0	249	249
NKD2	249	0	249	249
SLC12A7	249	0	249	249
SLC6A18	249	0	249	249
SLC6A19	249	0	249	249
SLC6A3	249	0	249	249
TERT	249	0	249	249
ABCG4	0	244	244	244
ACAT1	0	244	244	244
ALG9	0	244	244	244
ANKK1	0	244	244	244
APOA1	0	244	244	244
APOA1-AS	0	244	244	244
APOA4	0	244	244	244
APOA5	0	244	244	244
APOC3	0	244	244	244
ARCN1	0	244	244	244
ARHGAP20	0	244	244	244
ARHGEF12	0	244	244	244
ATM	0	244	244	244
ATP5L	0	244	244	244
BACE1	0	244	244	244
BACE1-AS	0	244	244	244
BCL9L	0	244	244	244
BCO2	0	244	244	244
BLID	0	244	244	244
BTG4	0	244	244	244
BUD13	0	244	244	244
C11orf1	0	244	244	244
C11orf52	0	244	244	244
C11orf53	0	244	244	244
C11orf57	0	244	244	244
C11orf65	0	244	244	244
C11orf71	0	244	244	244
C11orf87	0	244	244	244
