Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	80	496	576	259
LOC100132062	333	221	554	382
OR4F16	333	221	554	382
OR4F29	333	221	554	382
HTR1F	0	476	476	243
ANKRD28	0	460	460	460
ARL8B	0	460	460	460
ARPC4	0	460	460	460
ARPC4-TTLL3	0	460	460	460
ATG7	0	460	460	460
ATP2B2	0	460	460	460
ATP2B2-IT2	0	460	460	460
BHLHE40	0	460	460	460
BHLHE40-AS1	0	460	460	460
BRK1	0	460	460	460
BRPF1	0	460	460	460
BTD	0	460	460	460
C3orf20	0	460	460	460
CAMK1	0	460	460	460
CAND2	0	460	460	460
CAPN7	0	460	460	460
CAV3	0	460	460	460
CCDC174	0	460	460	460
CHCHD4	0	460	460	460
CHL1	0	460	460	460
CHL1-AS1	0	460	460	460
CIDEC	0	460	460	460
CIDECP	0	460	460	460
CNTN4	0	460	460	460
CNTN4-AS1	0	460	460	460
CNTN4-AS2	0	460	460	460
CNTN6	0	460	460	460
COL6A4P1	0	460	460	460
COLQ	0	460	460	460
CPNE9	0	460	460	460
CRBN	0	460	460	460
CRELD1	0	460	460	460
DAZL	0	460	460	460
DPH3	0	460	460	460
EAF1	0	460	460	460
EDEM1	0	460	460	460
EFHB	0	460	460	460
EGOT	0	460	460	460
EMC3	0	460	460	460
EMC3-AS1	0	460	460	460
FANCD2	0	460	460	460
FANCD2OS	0	460	460	460
FBLN2	0	460	460	460
FGD5	0	460	460	460
FGD5-AS1	0	460	460	460
FGD5P1	0	460	460	460
GALNT15	0	460	460	460
GHRL	0	460	460	460
GHRLOS	0	460	460	460
GRIP2	0	460	460	460
GRM7	0	460	460	460
GRM7-AS1	0	460	460	460
GRM7-AS2	0	460	460	460
GRM7-AS3	0	460	460	460
HACL1	0	460	460	460
HDAC11	0	460	460	460
HDAC11-AS1	0	460	460	460
HRH1	0	460	460	460
IL17RC	0	460	460	460
IL17RE	0	460	460	460
IL5RA	0	460	460	460
IQSEC1	0	460	460	460
IRAK2	0	460	460	460
ITPR1	0	460	460	460
ITPR1-AS1	0	460	460	460
JAGN1	0	460	460	460
KAT2B	0	460	460	460
KCNH8	0	460	460	460
LHFPL4	0	460	460	460
LINC00312	0	460	460	460
LINC00606	0	460	460	460
LINC00620	0	460	460	460
LINC00690	0	460	460	460
LINC00691	0	460	460	460
LINC00852	0	460	460	460
LINC01266	0	460	460	460
LINC01267	0	460	460	460
LMCD1	0	460	460	460
LMCD1-AS1	0	460	460	460
LOC101927394	0	460	460	460
LOC101927416	0	460	460	460
LOC101927829	0	460	460	460
LOC101927854	0	460	460	460
LOC102723448	0	460	460	460
LOC105376955	0	460	460	460
LOC105376975	0	460	460	460
LOC152274	0	460	460	460
LOC339862	0	460	460	460
LOC401052	0	460	460	460
LRRN1	0	460	460	460
LSM3	0	460	460	460
METTL6	0	460	460	460
MIR3134	0	460	460	460
MIR3135A	0	460	460	460
MIR3714	0	460	460	460
MIR378B	0	460	460	460
MIR4270	0	460	460	460
MIR4790	0	460	460	460
MIR4791	0	460	460	460
MIR4792	0	460	460	460
MIR563	0	460	460	460
MIR885	0	460	460	460
MKRN2	0	460	460	460
MKRN2OS	0	460	460	460
MRPS25	0	460	460	460
MTMR14	0	460	460	460
NKIRAS1	0	460	460	460
NR1D2	0	460	460	460
NR2C2	0	460	460	460
NUP210	0	460	460	460
OGG1	0	460	460	460
OXNAD1	0	460	460	460
OXTR	0	460	460	460
PLCL2	0	460	460	460
PP2D1	0	460	460	460
PPARG	0	460	460	460
PRRT3	0	460	460	460
PRRT3-AS1	0	460	460	460
RAB5A	0	460	460	460
RAD18	0	460	460	460
RAF1	0	460	460	460
