Hugo_Symbol	Amp	Del	total	AlteredSamples
RNU6-1	103	79	182	153
RNU6-2	103	79	182	153
RNU6-7	103	79	182	153
CAPZA2	177	0	177	177
CAV1	177	0	177	177
CAV2	177	0	177	177
LINC01510	177	0	177	177
LOC102724434	177	0	177	177
MET	177	0	177	177
MIR6132	177	0	177	177
ST7	177	0	177	177
ST7-AS1	177	0	177	177
ST7-AS2	177	0	177	177
ST7-OT4	177	0	177	177
TES	177	0	177	177
TFEC	177	0	177	177
MIR7641-2	0	123	123	67
ABCC5	103	0	103	103
ABCC5-AS1	103	0	103	103
ABCF3	103	0	103	103
ACAP2	103	0	103	103
ACTL6A	103	0	103	103
ACTRT3	103	0	103	103
ADIPOQ	103	0	103	103
ADIPOQ-AS1	103	0	103	103
AHSG	103	0	103	103
ALG3	103	0	103	103
ANKRD18DP	103	0	103	103
AP2M1	103	0	103	103
APOD	103	0	103	103
ATP11B	103	0	103	103
ATP13A3	103	0	103	103
ATP13A4	103	0	103	103
ATP13A4-AS1	103	0	103	103
ATP13A5	103	0	103	103
ATP13A5-AS1	103	0	103	103
B3GNT5	103	0	103	103
BCL6	103	0	103	103
BDH1	103	0	103	103
C3orf70	103	0	103	103
CAMK2N2	103	0	103	103
CCDC39	103	0	103	103
CCDC50	103	0	103	103
CEP19	103	0	103	103
CHRD	103	0	103	103
CLCN2	103	0	103	103
CLDN1	103	0	103	103
CLDN11	103	0	103	103
CLDN16	103	0	103	103
CPN2	103	0	103	103
CRYGS	103	0	103	103
DCUN1D1	103	0	103	103
DGKG	103	0	103	103
DLG1	103	0	103	103
DLG1-AS1	103	0	103	103
DNAJB11	103	0	103	103
DNAJC19	103	0	103	103
DPPA2P3	103	0	103	103
DVL3	103	0	103	103
ECE2	103	0	103	103
ECT2	103	0	103	103
EGFEM1P	103	0	103	103
EHHADH	103	0	103	103
EHHADH-AS1	103	0	103	103
EIF2B5	103	0	103	103
EIF2B5-AS1	103	0	103	103
EIF4A2	103	0	103	103
EIF4G1	103	0	103	103
EIF5A2	103	0	103	103
EPHB3	103	0	103	103
ETV5	103	0	103	103
FAM131A	103	0	103	103
FAM157A	103	0	103	103
FAM43A	103	0	103	103
FBXO45	103	0	103	103
FETUB	103	0	103	103
FGF12	103	0	103	103
FGF12-AS1	103	0	103	103
FGF12-AS3	103	0	103	103
FLJ42393	103	0	103	103
FLJ46066	103	0	103	103
FNDC3B	103	0	103	103
FXR1	103	0	103	103
FYTTD1	103	0	103	103
GHSR	103	0	103	103
GMNC	103	0	103	103
GNB4	103	0	103	103
GOLIM4	103	0	103	103
GP5	103	0	103	103
GPR160	103	0	103	103
HES1	103	0	103	103
HRASLS	103	0	103	103
HRG	103	0	103	103
HTR3C	103	0	103	103
HTR3D	103	0	103	103
HTR3E	103	0	103	103
HTR3E-AS1	103	0	103	103
IGF2BP2	103	0	103	103
IGF2BP2-AS1	103	0	103	103
IL1RAP	103	0	103	103
IQCG	103	0	103	103
KCCAT211	103	0	103	103
KCNMB2	103	0	103	103
KCNMB2-AS1	103	0	103	103
KCNMB3	103	0	103	103
KLHL24	103	0	103	103
KLHL6	103	0	103	103
KLHL6-AS1	103	0	103	103
KNG1	103	0	103	103
LAMP3	103	0	103	103
LINC00501	103	0	103	103
LINC00578	103	0	103	103
LINC00884	103	0	103	103
LINC00885	103	0	103	103
LINC00887	103	0	103	103
LINC00888	103	0	103	103
LINC00969	103	0	103	103
LINC01014	103	0	103	103
LINC01063	103	0	103	103
LINC01206	103	0	103	103
LINC01208	103	0	103	103
LINC01209	103	0	103	103
LINCR-0002	103	0	103	103
LIPH	103	0	103	103
LMLN	103	0	103	103
LMLN-AS1	103	0	103	103
LOC100128164	103	0	103	103
LOC100131635	103	0	103	103
LOC100505609	103	0	103	103
LOC100505920	103	0	103	103
LOC100507391	103	0	103	103
LOC100507661	103	0	103	103
LOC101928583	103	0	103	103
LOC101928739	103	0	103	103
LOC101928882	103	0	103	103
LOC101928992	103	0	103	103
LOC101929106	103	0	103	103
LOC101929130	103	0	103	103
LOC101929337	103	0	103	103
LOC101929697	103	0	103	103
LOC102724604	103	0	103	103
LOC102724699	103	0	103	103
LOC105374205	103	0	103	103
LOC105374244	103	0	103	103
LOC105374250	103	0	103	103
LOC105374266	103	0	103	103
LOC105374297	103	0	103	103
LOC220729	103	0	103	103
LOC253573	103	0	103	103
LOC285389	103	0	103	103
LOC647323	103	0	103	103
LPP	103	0	103	103
LPP-AS1	103	0	103	103
LPP-AS2	103	0	103	103
LRCH3	103	0	103	103
LRRC15	103	0	103	103
LRRC31	103	0	103	103
LRRC34	103	0	103	103
LRRIQ4	103	0	103	103
LSG1	103	0	103	103
MAGEF1	103	0	103	103
MAP3K13	103	0	103	103
MAP6D1	103	0	103	103
MASP1	103	0	103	103
MB21D2	103	0	103	103
MCCC1	103	0	103	103
MCF2L2	103	0	103	103
MECOM	103	0	103	103
MELTF	103	0	103	103
MFI2-AS1	103	0	103	103
MFN1	103	0	103	103
MGC2889	103	0	103	103
MIR1224	103	0	103	103
MIR1248	103	0	103	103
MIR28	103	0	103	103
MIR3137	103	0	103	103
MIR4448	103	0	103	103
MIR4789	103	0	103	103
MIR4797	103	0	103	103
MIR548AQ	103	0	103	103
MIR551B	103	0	103	103
MIR5588	103	0	103	103
MIR569	103	0	103	103
MIR570	103	0	103	103
MIR6828	103	0	103	103
MIR6829	103	0	103	103
MIR7977	103	0	103	103
MIR922	103	0	103	103
MIR944	103	0	103	103
MRPL47	103	0	103	103
MUC20	103	0	103	103
MUC4	103	0	103	103
MYNN	103	0	103	103
NAALADL2	103	0	103	103
NAALADL2-AS1	103	0	103	103
NAALADL2-AS2	103	0	103	103
NAALADL2-AS3	103	0	103	103
NCBP2	103	0	103	103
NCBP2-AS2	103	0	103	103
NCEH1	103	0	103	103
NDUFB5	103	0	103	103
NLGN1	103	0	103	103
NLGN1-AS1	103	0	103	103
NMRAL1P1	103	0	103	103
NRROS	103	0	103	103
OPA1	103	0	103	103
OPA1-AS1	103	0	103	103
OSTN	103	0	103	103
OSTN-AS1	103	0	103	103
P3H2	103	0	103	103
P3H2-AS1	103	0	103	103
PAK2	103	0	103	103
PARL	103	0	103	103
PCYT1A	103	0	103	103
PEX5L	103	0	103	103
PEX5L-AS2	103	0	103	103
PHC3	103	0	103	103
PIGX	103	0	103	103
PIGZ	103	0	103	103
PIK3CA	103	0	103	103
PLD1	103	0	103	103
POLR2H	103	0	103	103
PPP1R2	103	0	103	103
PRKCI	103	0	103	103
PSMD2	103	0	103	103
PYDC2	103	0	103	103
RFC4	103	0	103	103
RNF168	103	0	103	103
RPL22L1	103	0	103	103
RPL35A	103	0	103	103
RPL39L	103	0	103	103
RTP1	103	0	103	103
RTP2	103	0	103	103
RTP4	103	0	103	103
RUBCN	103	0	103	103
SAMD7	103	0	103	103
SDHAP1	103	0	103	103
SDHAP2	103	0	103	103
SEC62	103	0	103	103
SENP2	103	0	103	103
SENP5	103	0	103	103
SKIL	103	0	103	103
SLC2A2	103	0	103	103
SLC51A	103	0	103	103
SLC7A14	103	0	103	103
SMCO1	103	0	103	103
SNAR-I	103	0	103	103
SNORA4	103	0	103	103
SNORA63	103	0	103	103
SNORA81	103	0	103	103
SNORD2	103	0	103	103
SNORD66	103	0	103	103
SOX2	103	0	103	103
SOX2-OT	103	0	103	103
SPATA16	103	0	103	103
SST	103	0	103	103
ST6GAL1	103	0	103	103
TBCCD1	103	0	103	103
TBL1XR1	103	0	103	103
TCTEX1D2	103	0	103	103
TERC	103	0	103	103
TFRC	103	0	103	103
THPO	103	0	103	103
TM4SF19	103	0	103	103
TM4SF19-AS1	103	0	103	103
TM4SF19-TCTEX1D2	103	0	103	103
TMEM207	103	0	103	103
TMEM212	103	0	103	103
TMEM212-AS1	103	0	103	103
TMEM41A	103	0	103	103
TMEM44	103	0	103	103
TMEM44-AS1	103	0	103	103
TNFSF10	103	0	103	103
TNIK	103	0	103	103
TNK2	103	0	103	103
TP63	103	0	103	103
TPRG1	103	0	103	103
TPRG1-AS1	103	0	103	103
TPRG1-AS2	103	0	103	103
TRA2B	103	0	103	103
TTC14	103	0	103	103
UBXN7	103	0	103	103
UBXN7-AS1	103	0	103	103
USP13	103	0	103	103
UTS2B	103	0	103	103
VPS8	103	0	103	103
VWA5B2	103	0	103	103
WDR53	103	0	103	103
XXYLT1	103	0	103	103
XXYLT1-AS1	103	0	103	103
XXYLT1-AS2	103	0	103	103
YEATS2	103	0	103	103
ZDHHC19	103	0	103	103
ZMAT3	103	0	103	103
ZNF639	103	0	103	103
LOC100132062	38	60	98	83
OR4F16	38	60	98	83
OR4F29	38	60	98	83
MIR5096	0	82	82	64
MIR1268A	0	63	63	52
AADACL3	0	60	60	60
AADACL4	0	60	60	60
ACAP3	0	60	60	60
ACOT7	0	60	60	60
ACTG1P20	0	60	60	60
ACTL8	0	60	60	60
ACTRT2	0	60	60	60
AGMAT	0	60	60	60
AGRN	0	60	60	60
AGTRAP	0	60	60	60
AHDC1	0	60	60	60
AIM1L	0	60	60	60
AJAP1	0	60	60	60
AKR7A2	0	60	60	60
AKR7A3	0	60	60	60
AKR7L	0	60	60	60
ALDH4A1	0	60	60	60
ALPL	0	60	60	60
ANGPTL7	0	60	60	60
ANKRD65	0	60	60	60
APITD1-CORT	0	60	60	60
ARHGEF10L	0	60	60	60
ARHGEF16	0	60	60	60
ARHGEF19	0	60	60	60
ARID1A	0	60	60	60
ASAP3	0	60	60	60
ATAD3A	0	60	60	60
ATAD3B	0	60	60	60
ATAD3C	0	60	60	60
ATP13A2	0	60	60	60
AUNIP	0	60	60	60
AURKAIP1	0	60	60	60
B3GALT6	0	60	60	60
C1QA	0	60	60	60
C1QB	0	60	60	60
C1QC	0	60	60	60
C1orf127	0	60	60	60
C1orf158	0	60	60	60
C1orf159	0	60	60	60
C1orf167	0	60	60	60
C1orf174	0	60	60	60
C1orf195	0	60	60	60
C1orf234	0	60	60	60
C1orf64	0	60	60	60
CA6	0	60	60	60
CALML6	0	60	60	60
CAMK2N1	0	60	60	60
CAMTA1	0	60	60	60
CAPZB	0	60	60	60
CASP9	0	60	60	60
CASZ1	0	60	60	60
CATSPER4	0	60	60	60
CCDC27	0	60	60	60
CCNL2	0	60	60	60
CD164L2	0	60	60	60
CD52	0	60	60	60
CDA	0	60	60	60
CDC42	0	60	60	60
CDK11A	0	60	60	60
CDK11B	0	60	60	60
CELA2A	0	60	60	60
CELA2B	0	60	60	60
CELA3A	0	60	60	60
CELA3B	0	60	60	60
CENPS	0	60	60	60
CEP104	0	60	60	60
CEP85	0	60	60	60
CFAP74	0	60	60	60
CHD5	0	60	60	60
CLCN6	0	60	60	60
CLCNKA	0	60	60	60
CLCNKB	0	60	60	60
CLIC4	0	60	60	60
CLSTN1	0	60	60	60
CNKSR1	0	60	60	60
CNR2	0	60	60	60
CORT	0	60	60	60
CPSF3L	0	60	60	60
CPTP	0	60	60	60
CROCC	0	60	60	60
CROCCP2	0	60	60	60
CROCCP3	0	60	60	60
CTNNBIP1	0	60	60	60
CTRC	0	60	60	60
DDI2	0	60	60	60
DDOST	0	60	60	60
DDX11L1	0	60	60	60
DFFA	0	60	60	60
DFFB	0	60	60	60
DHDDS	0	60	60	60
DHRS3	0	60	60	60
DISP3	0	60	60	60
DNAJC11	0	60	60	60
DNAJC16	0	60	60	60
DRAXIN	0	60	60	60
DVL1	0	60	60	60
E2F2	0	60	60	60
ECE1	0	60	60	60
EFHD2	0	60	60	60
EIF4G3	0	60	60	60
EMC1	0	60	60	60
ENO1	0	60	60	60
ENO1-AS1	0	60	60	60
EPHA2	0	60	60	60
EPHA8	0	60	60	60
EPHB2	0	60	60	60
ERRFI1	0	60	60	60
ESPN	0	60	60	60
ESPNP	0	60	60	60
EXOSC10	0	60	60	60
EXTL1	0	60	60	60
EYA3	0	60	60	60
FAAP20	0	60	60	60
FAM110D	0	60	60	60
FAM131C	0	60	60	60
FAM132A	0	60	60	60
FAM138A	0	60	60	60
FAM138C	0	60	60	60
FAM138D	0	60	60	60
FAM213B	0	60	60	60
FAM231A	0	60	60	60
FAM231B	0	60	60	60
FAM231C	0	60	60	60
FAM41C	0	60	60	60
FAM43B	0	60	60	60
FAM46B	0	60	60	60
FAM76A	0	60	60	60
FAM87B	0	60	60	60
FBLIM1	0	60	60	60
FBXO2	0	60	60	60
FBXO42	0	60	60	60
FBXO44	0	60	60	60
FBXO6	0	60	60	60
FCN3	0	60	60	60
FGR	0	60	60	60
FHAD1	0	60	60	60
FLJ37453	0	60	60	60
FNDC10	0	60	60	60
FUCA1	0	60	60	60
GABRD	0	60	60	60
GALE	0	60	60	60
GNB1	0	60	60	60
GPATCH3	0	60	60	60
GPN2	0	60	60	60
GPR153	0	60	60	60
GPR157	0	60	60	60
GPR3	0	60	60	60
GRHL3	0	60	60	60
H6PD	0	60	60	60
HES2	0	60	60	60
HES3	0	60	60	60
HES4	0	60	60	60
HES5	0	60	60	60
HMGCL	0	60	60	60
HMGN2	0	60	60	60
HNRNPCL1	0	60	60	60
HNRNPCL2	0	60	60	60
HNRNPCL3	0	60	60	60
HNRNPCL4	0	60	60	60
HNRNPR	0	60	60	60
