Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	162	348	510	277
MIR6859-1	52	356	408	239
MIR6859-2	52	356	408	239
MIR6859-3	52	356	408	239
MIR5096	65	342	407	206
MIR1302-10	52	334	386	245
MIR1302-11	52	334	386	245
MIR1302-2	52	334	386	245
MIR1302-9	52	334	386	245
ABCG2	0	342	342	178
ADAMTS3	0	342	342	178
ADH1A	0	342	342	178
ADH1B	0	342	342	178
ADH1C	0	342	342	178
ADH4	0	342	342	178
ADH5	0	342	342	178
ADH6	0	342	342	178
ADH7	0	342	342	178
AFF1	0	342	342	178
AFM	0	342	342	178
AFP	0	342	342	178
ALB	0	342	342	178
AMBN	0	342	342	178
AMTN	0	342	342	178
ANKRD17	0	342	342	178
ANTXR2	0	342	342	178
ANXA3	0	342	342	178
AREG	0	342	342	178
ARHGAP24	0	342	342	178
ART3	0	342	342	178
ATOH1	0	342	342	178
BMP2K	0	342	342	178
BMP3	0	342	342	178
BMPR1B	0	342	342	178
BMPR1B-AS1	0	342	342	178
BTC	0	342	342	178
C4orf17	0	342	342	178
C4orf22	0	342	342	178
C4orf26	0	342	342	178
C4orf36	0	342	342	178
CABS1	0	342	342	178
CCDC158	0	342	342	178
CCNG2	0	342	342	178
CCNI	0	342	342	178
CCSER1	0	342	342	178
CDKL2	0	342	342	178
CDS1	0	342	342	178
CENPC	0	342	342	178
CNOT6L	0	342	342	178
COPS4	0	342	342	178
COQ2	0	342	342	178
COX18	0	342	342	178
CSN1S1	0	342	342	178
CSN1S2AP	0	342	342	178
CSN1S2BP	0	342	342	178
CSN2	0	342	342	178
CSN3	0	342	342	178
CXCL1	0	342	342	178
CXCL10	0	342	342	178
CXCL11	0	342	342	178
CXCL13	0	342	342	178
CXCL2	0	342	342	178
CXCL3	0	342	342	178
CXCL5	0	342	342	178
CXCL6	0	342	342	178
CXCL8	0	342	342	178
CXCL9	0	342	342	178
DAPP1	0	342	342	178
DCK	0	342	342	178
DDIT4L	0	342	342	178
DMP1	0	342	342	178
DNAJB14	0	342	342	178
DSPP	0	342	342	178
EIF4E	0	342	342	178
ENAM	0	342	342	178
ENOPH1	0	342	342	178
