Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	101	1140	1241	472
EYS	109	467	576	343
LGSN	109	467	576	343
PHF3	109	467	576	343
PTP4A1	109	467	576	343
BYSL	207	279	486	362
C6orf132	207	279	486	362
CCND3	207	279	486	362
FRS3	207	279	486	362
GUCA1A	207	279	486	362
MED20	207	279	486	362
PGC	207	279	486	362
PRICKLE4	207	279	486	362
TAF8	207	279	486	362
TFEB	207	279	486	362
TOMM6	207	279	486	362
USP49	207	279	486	362
ADGRB3	0	467	467	289
AKIRIN2	0	467	467	289
ANKRD6	0	467	467	289
ASCC3	0	467	467	289
B3GAT2	0	467	467	289
BACH2	0	467	467	289
BAG2	0	467	467	289
BCKDHB	0	467	467	289
BEND6	0	467	467	289
BMP5	0	467	467	289
C6orf163	0	467	467	289
CASC6	0	467	467	289
CASP8AP2	0	467	467	289
CCNC	0	467	467	289
CD109	0	467	467	289
CEP162	0	467	467	289
CFAP206	0	467	467	289
CGA	0	467	467	289
CNR1	0	467	467	289
COL12A1	0	467	467	289
COL19A1	0	467	467	289
COL21A1	0	467	467	289
COL9A1	0	467	467	289
COQ3	0	467	467	289
COX7A2	0	467	467	289
CYB5R4	0	467	467	289
DDX43	0	467	467	289
DOPEY1	0	467	467	289
DPPA5	0	467	467	289
DST	0	467	467	289
EEF1A1	0	467	467	289
ELOVL4	0	467	467	289
EPHA7	0	467	467	289
EVADR	0	467	467	289
FAM135A	0	467	467	289
FAM46A	0	467	467	289
FAXC	0	467	467	289
FBXL4	0	467	467	289
FHL5	0	467	467	289
FILIP1	0	467	467	289
FUT9	0	467	467	289
GABRR1	0	467	467	289
GABRR2	0	467	467	289
GJA10	0	467	467	289
GJB7	0	467	467	289
GPR63	0	467	467	289
GUSBP4	0	467	467	289
HMGCLL1	0	467	467	289
HMGN3	0	467	467	289
HMGN3-AS1	0	467	467	289
HTR1B	0	467	467	289
HTR1E	0	467	467	289
IBTK	0	467	467	289
IMPG1	0	467	467	289
IRAK1BP1	0	467	467	289
KCNQ5	0	467	467	289
KCNQ5-AS1	0	467	467	289
KCNQ5-IT1	0	467	467	289
KHDC1	0	467	467	289
KHDC1L	0	467	467	289
KHDC3L	0	467	467	289
KHDRBS2	0	467	467	289
KIAA1586	0	467	467	289
KLHL32	0	467	467	289
LCA5	0	467	467	289
LCAL1	0	467	467	289
LINC00472	0	467	467	289
LINC00680	0	467	467	289
LINC00680-GUSBP4	0	467	467	289
LINC01526	0	467	467	289
LINC01590	0	467	467	289
LINC01611	0	467	467	289
LINC01621	0	467	467	289
LINC01626	0	467	467	289
LMBRD1	0	467	467	289
LOC100506188	0	467	467	289
LOC100506804	0	467	467	289
LOC101927211	0	467	467	289
LOC101927314	0	467	467	289
LOC101927365	0	467	467	289
LOC101928280	0	467	467	289
LOC101928307	0	467	467	289
LOC101928489	0	467	467	289
LOC101928516	0	467	467	289
LOC101928540	0	467	467	289
LOC101928820	0	467	467	289
LOC101928911	0	467	467	289
LOC101928936	0	467	467	289
LOC101929057	0	467	467	289
LOC101930010	0	467	467	289
LOC102723883	0	467	467	289
LOC105377879	0	467	467	289
LOC441155	0	467	467	289
LYRM2	0	467	467	289
MANEA	0	467	467	289
MANEA-AS1	0	467	467	289
MAP3K7	0	467	467	289
MB21D1	0	467	467	289
MCHR2	0	467	467	289
MCHR2-AS1	0	467	467	289
MDN1	0	467	467	289
ME1	0	467	467	289
MEI4	0	467	467	289
MIR2113	0	467	467	289
MIR30A	0	467	467	289
MIR30C2	0	467	467	289
MIR4282	0	467	467	289
MIR4463	0	467	467	289
MIR4464	0	467	467	289
MIR4643	0	467	467	289
MIR548AI	0	467	467	289
MIR548U	0	467	467	289
MMS22L	0	467	467	289
MRAP2	0	467	467	289
MTO1	0	467	467	289
MTRNR2L9	0	467	467	289
MYO6	0	467	467	289
NDUFAF4	0	467	467	289
NT5E	0	467	467	289
OGFRL1	0	467	467	289
OOEP	0	467	467	289
ORC3	0	467	467	289
PGM3	0	467	467	289
PHIP	0	467	467	289
PM20D2	0	467	467	289
PNISR	0	467	467	289
PNRC1	0	467	467	289
POU3F2	0	467	467	289
PRDM13	0	467	467	289
PRIM2	0	467	467	289
PRSS35	0	467	467	289
RAB23	0	467	467	289
RARS2	0	467	467	289
RIMS1	0	467	467	289
RIPPLY2	0	467	467	289
RNGTT	0	467	467	289
RRAGD	0	467	467	289
RWDD2A	0	467	467	289
SDHAF4	0	467	467	289
SENP6	0	467	467	289
SH3BGRL2	0	467	467	289
SIM1	0	467	467	289
SLC17A5	0	467	467	289
SLC25A51P1	0	467	467	289
SLC35A1	0	467	467	289
SMAP1	0	467	467	289
SMIM8	0	467	467	289
SNAP91	0	467	467	289
SNHG5	0	467	467	289
SNORD141A	0	467	467	289
SNORD50A	0	467	467	289
SNORD50B	0	467	467	289
SNX14	0	467	467	289
SPACA1	0	467	467	289
SRSF12	0	467	467	289
SYNCRIP	0	467	467	289
TBX18	0	467	467	289
TBX18-AS1	0	467	467	289
TMEM30A	0	467	467	289
TPBG	0	467	467	289
TSG1	0	467	467	289
TSTD3	0	467	467	289
TTK	0	467	467	289
UBE2J1	0	467	467	289
UBE3D	0	467	467	289
UFL1	0	467	467	289
USP45	0	467	467	289
ZNF292	0	467	467	289
ZNF451	0	467	467	289
hsa-mir-2113	0	467	467	289
MIR1244-1	0	445	445	320
MIR1244-2	0	445	445	320
MIR1244-3	0	445	445	320
FAM138A	0	434	434	333
FAM138C	0	434	434	333
MIR1302-10	0	434	434	333
MIR1302-11	0	434	434	333
MIR1302-2	0	434	434	333
MIR1302-9	0	434	434	333
LOC100132062	129	301	430	340
OR4F16	129	301	430	340
OR4F29	129	301	430	340
SNORA59A	0	409	409	322
ARNT	393	0	393	393
SETDB1	393	0	393	393
ABLIM3	0	370	370	217
ADAM19	0	370	370	217
ADRA1B	0	370	370	217
ADRB2	0	370	370	217
AFAP1L1	0	370	370	217
ANXA6	0	370	370	217
ARHGEF37	0	370	370	217
ARSI	0	370	370	217
ATOX1	0	370	370	217
ATP10B	0	370	370	217
C1QTNF2	0	370	370	217
C5orf46	0	370	370	217
C5orf52	0	370	370	217
CAMK2A	0	370	370	217
CARMN	0	370	370	217
CCDC69	0	370	370	217
CCNG1	0	370	370	217
CCNJL	0	370	370	217
CD74	0	370	370	217
CDX1	0	370	370	217
CLINT1	0	370	370	217
CNOT8	0	370	370	217
CSF1R	0	370	370	217
CSNK1A1	0	370	370	217
CTB-113P19.1	0	370	370	217
CTB-12O2.1	0	370	370	217
CTB-178M22.2	0	370	370	217
CTB-7E3.1	0	370	370	217
CYFIP2	0	370	370	217
DCTN4	0	370	370	217
DPYSL3	0	370	370	217
EBF1	0	370	370	217
FABP6	0	370	370	217
FAM114A2	0	370	370	217
FAM71B	0	370	370	217
FAT2	0	370	370	217
FAXDC2	0	370	370	217
FBLL1	0	370	370	217
FBXO38	0	370	370	217
FNDC9	0	370	370	217
G3BP1	0	370	370	217
GABRA1	0	370	370	217
GABRA6	0	370	370	217
GABRB2	0	370	370	217
GABRG2	0	370	370	217
GALNT10	0	370	370	217
GEMIN5	0	370	370	217
GLRA1	0	370	370	217
GM2A	0	370	370	217
GPX3	0	370	370	217
GRIA1	0	370	370	217
GRPEL2	0	370	370	217
GRPEL2-AS1	0	370	370	217
HAND1	0	370	370	217
HAVCR1	0	370	370	217
HAVCR2	0	370	370	217
HMGXB3	0	370	370	217
HMMR	0	370	370	217
HMMR-AS1	0	370	370	217
HTR4	0	370	370	217
IL12B	0	370	370	217
IL17B	0	370	370	217
IRGM	0	370	370	217
ITK	0	370	370	217
JAKMIP2	0	370	370	217
JAKMIP2-AS1	0	370	370	217
KIF4B	0	370	370	217
LARP1	0	370	370	217
LINC01202	0	370	370	217
LINC01470	0	370	370	217
LOC100652758	0	370	370	217
LOC101927697	0	370	370	217
LOC101927740	0	370	370	217
LOC101927766	0	370	370	217
LOC101927835	0	370	370	217
LOC101927908	0	370	370	217
LOC102546294	0	370	370	217
LOC102546298	0	370	370	217
LOC102546299	0	370	370	217
LOC102724404	0	370	370	217
LOC105377682	0	370	370	217
LOC255187	0	370	370	217
LOC285626	0	370	370	217
LOC285627	0	370	370	217
LOC285629	0	370	370	217
LOC644762	0	370	370	217
LSM11	0	370	370	217
MAT2B	0	370	370	217
MED7	0	370	370	217
MFAP3	0	370	370	217
MIR103A1	0	370	370	217
MIR103B1	0	370	370	217
MIR1294	0	370	370	217
MIR1303	0	370	370	217
MIR143	0	370	370	217
MIR145	0	370	370	217
MIR146A	0	370	370	217
MIR3141	0	370	370	217
MIR3142	0	370	370	217
MIR3142HG	0	370	370	217
MIR378A	0	370	370	217
MIR378H	0	370	370	217
MIR584	0	370	370	217
MIR6499	0	370	370	217
MRPL22	0	370	370	217
MYOZ3	0	370	370	217
NDST1	0	370	370	217
NIPAL4	0	370	370	217
NMUR2	0	370	370	217
NUDCD2	0	370	370	217
PANK3	0	370	370	217
PCYOX1L	0	370	370	217
PDE6A	0	370	370	217
PDGFRB	0	370	370	217
PPARGC1B	0	370	370	217
PPP1R2P3	0	370	370	217
PTTG1	0	370	370	217
PWWP2A	0	370	370	217
RARS	0	370	370	217
RBM22	0	370	370	217
RNF145	0	370	370	217
RPS14	0	370	370	217
SAP30L	0	370	370	217
SAP30L-AS1	0	370	370	217
SCGB3A2	0	370	370	217
SGCD	0	370	370	217
SH3TC2	0	370	370	217
SLC26A2	0	370	370	217
SLC36A1	0	370	370	217
SLC36A2	0	370	370	217
SLC36A3	0	370	370	217
SLC6A7	0	370	370	217
SLU7	0	370	370	217
SMIM3	0	370	370	217
SOX30	0	370	370	217
SPARC	0	370	370	217
SPINK1	0	370	370	217
SPINK13	0	370	370	217
SPINK14	0	370	370	217
SPINK5	0	370	370	217
SPINK6	0	370	370	217
SPINK7	0	370	370	217
SPINK9	0	370	370	217
STK32A	0	370	370	217
SYNPO	0	370	370	217
TCOF1	0	370	370	217
TENM2	0	370	370	217
THG1L	0	370	370	217
TIGD6	0	370	370	217
TIMD4	0	370	370	217
TNIP1	0	370	370	217
TTC1	0	370	370	217
UBLCP1	0	370	370	217
WWC1	0	370	370	217
ZBED8	0	370	370	217
ZNF300	0	370	370	217
ZNF300P1	0	370	370	217
DUX4	0	364	364	288
TERT	350	0	350	350
[MIR1208]	331	0	331	331
RNU1-1	0	322	322	222
RNU1-2	0	322	322	222
RNU1-3	0	322	322	222
RNU1-4	0	322	322	222
ATP4B	78	241	319	313
CDC16	78	241	319	313
CHAMP1	78	241	319	313
DCUN1D2	78	241	319	313
GAS6	78	241	319	313
GAS6-AS1	78	241	319	313
GAS6-AS2	78	241	319	313
GRK1	78	241	319	313
LINC00452	78	241	319	313
LINC00454	78	241	319	313
LINC00552	78	241	319	313
LINC00565	78	241	319	313
LINC01054	78	241	319	313
MIR4502	78	241	319	313
MIR548AR	78	241	319	313
RASA3	78	241	319	313
TFDP1	78	241	319	313
TMCO3	78	241	319	313
TMEM255B	78	241	319	313
UPF3A	78	241	319	313
RPA1	0	303	303	303
SERPINF1	0	303	303	303
SMYD4	0	303	303	303
ANXA2R	300	0	300	300
BRCAT107	300	0	300	300
BRCAT54	300	0	300	300
C5orf34	300	0	300	300
C5orf42	300	0	300	300
C5orf51	300	0	300	300
C6	300	0	300	300
C7	300	0	300	300
C9	300	0	300	300
CAPSL	300	0	300	300
CARD6	300	0	300	300
CCDC152	300	0	300	300
CCL28	300	0	300	300
DAB2	300	0	300	300
EGFLAM	300	0	300	300
EGFLAM-AS2	300	0	300	300
EGFLAM-AS4	300	0	300	300
EMB	300	0	300	300
FBXO4	300	0	300	300
FGF10	300	0	300	300
FGF10-AS1	300	0	300	300
FLJ32255	300	0	300	300
FYB	300	0	300	300
GDNF	300	0	300	300
GDNF-AS1	300	0	300	300
GHR	300	0	300	300
HCN1	300	0	300	300
HMGCS1	300	0	300	300
IL7R	300	0	300	300
LIFR	300	0	300	300
LIFR-AS1	300	0	300	300
LINC00603	300	0	300	300
LINC01265	300	0	300	300
LMBRD2	300	0	300	300
LOC100132356	300	0	300	300
LOC100506406	300	0	300	300
LOC100506548	300	0	300	300
LOC100506639	300	0	300	300
LOC101926940	300	0	300	300
LOC101926960	300	0	300	300
LOC101929745	300	0	300	300
LOC105374727	300	0	300	300
LOC105374729	300	0	300	300
LOC153684	300	0	300	300
LOC648987	300	0	300	300
MIR3650	300	0	300	300
MIR580	300	0	300	300
MROH2B	300	0	300	300
MRPS30	300	0	300	300
NADK2	300	0	300	300
NIM1K	300	0	300	300
NIPBL	300	0	300	300
NIPBL-AS1	300	0	300	300
NNT	300	0	300	300
