Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR1302-10	196	459	655	398
MIR1302-11	196	459	655	398
MIR1302-2	196	459	655	398
MIR1302-9	196	459	655	398
MIR4477A	306	243	549	387
MIR7641-2	0	504	504	335
RNU1-1	274	219	493	344
RNU1-2	274	219	493	344
RNU1-3	274	219	493	344
RNU1-4	274	219	493	344
FAM138D	270	219	489	353
FAM138A	0	459	459	345
FAM138C	0	459	459	345
RNU6-1	0	459	459	345
RNU6-2	0	459	459	345
RNU6-7	0	459	459	345
LINC01206	453	0	453	453
FOXP1	0	433	433	433
FOXP1-AS1	0	433	433	433
MIR1284	0	433	433	433
SAMMSON	0	433	433	433
ROBO1	0	419	419	419
LOC102723376	183	235	418	323
MIR6859-1	196	219	415	315
MIR6859-2	196	219	415	315
MIR6859-3	196	219	415	315
AHRR	391	0	391	391
BRD9	391	0	391	391
CCDC127	391	0	391	391
CEP72	391	0	391	391
EXOC3	391	0	391	391
EXOC3-AS1	391	0	391	391
HRAT5	391	0	391	391
LOC100288152	391	0	391	391
LOC100506688	391	0	391	391
LOC100996325	391	0	391	391
LRRC14B	391	0	391	391
MIR4456	391	0	391	391
NKD2	391	0	391	391
PDCD6	391	0	391	391
PLEKHG4B	391	0	391	391
PP7080	391	0	391	391
SDHA	391	0	391	391
SLC9A3	391	0	391	391
TPPP	391	0	391	391
TRIP13	391	0	391	391
VGLL4	0	391	391	391
ZDHHC11	391	0	391	391
CDKN2A	0	387	387	387
CDKN2A-AS1	0	387	387	387
FNIP1	0	378	378	378
RAPGEF6	0	378	378	378
ADPRHL1	91	282	373	361
ATP4B	91	282	373	361
CUL4A	91	282	373	361
DCUN1D2	91	282	373	361
F10	91	282	373	361
F10-AS1	91	282	373	361
F7	91	282	373	361
GAS6	91	282	373	361
GAS6-AS1	91	282	373	361
GAS6-AS2	91	282	373	361
GRK1	91	282	373	361
GRTP1	91	282	373	361
GRTP1-AS1	91	282	373	361
LAMP1	91	282	373	361
LINC00452	91	282	373	361
LINC00454	91	282	373	361
LINC00552	91	282	373	361
LINC00565	91	282	373	361
LOC101928841	91	282	373	361
MIR8075	91	282	373	361
PCID2	91	282	373	361
PROZ	91	282	373	361
TFDP1	91	282	373	361
TMCO3	91	282	373	361
TMEM255B	91	282	373	361
CASC21	367	0	367	367
CASC8	367	0	367	367
CCAT2	367	0	367	367
MIR582	0	361	361	361
PART1	0	361	361	361
PDE4D	0	361	361	361
ARL13B	0	351	351	351
C3orf38	0	351	351	351
CADM2	0	351	351	351
CADM2-AS2	0	351	351	351
CGGBP1	0	351	351	351
CHMP2B	0	351	351	351
EPHA3	0	351	351	351
GBE1	0	351	351	351
HTR1F	0	351	351	351
LINC00506	0	351	351	351
LINC00971	0	351	351	351
LOC101927494	0	351	351	351
MIR4795	0	351	351	351
MIR5688	0	351	351	351
POU1F1	0	351	351	351
PROS1	0	351	351	351
SNORA95	0	351	351	351
STX19	0	351	351	351
VGLL3	0	351	351	351
ZNF654	0	351	351	351
CSMD1	0	346	346	346
LOC101927815	0	346	346	346
C17orf62	245	98	343	314
CCDC57	245	98	343	314
CD7	245	98	343	314
CSNK1D	245	98	343	314
FOXK2	245	98	343	314
HEXDC	245	98	343	314
LOC101929511	245	98	343	314
MIR6787	245	98	343	314
NARF	245	98	343	314
OGFOD3	245	98	343	314
SECTM1	245	98	343	314
SLC16A3	245	98	343	314
TEX19	245	98	343	314
UTS2R	245	98	343	314
BMP5	196	137	333	287
COL21A1	196	137	333	287
DST	196	137	333	287
FAM83B	196	137	333	287
GFRAL	196	137	333	287
HCRTR2	196	137	333	287
HMGCLL1	196	137	333	287
FAT1	0	331	331	331
MTNR1A	0	331	331	331
LPAR6	0	330	330	330
RB1	0	330	330	330
LINGO2	0	326	326	326
MIR873	0	326	326	326
MIR876	0	326	326	326
ANKRD20A9P	0	323	323	323
ANKRD26P3	0	323	323	323
BASP1P1	0	323	323	323
CRYL1	0	323	323	323
EEF1AKMT1	0	323	323	323
FAM230C	0	323	323	323
FGF9	0	323	323	323
GJA3	0	323	323	323
GJB2	0	323	323	323
GJB6	0	323	323	323
IFT88	0	323	323	323
IL17D	0	323	323	323
LATS2	0	323	323	323
LINC00350	0	323	323	323
LINC00367	0	323	323	323
LINC00408	0	323	323	323
LINC00417	0	323	323	323
LINC00421	0	323	323	323
LINC00424	0	323	323	323
LINC00442	0	323	323	323
LINC00539	0	323	323	323
LINC00540	0	323	323	323
LINC00621	0	323	323	323
LINC01046	0	323	323	323
LINC01072	0	323	323	323
LOC101928697	0	323	323	323
MICU2	0	323	323	323
MIPEPP3	0	323	323	323
MIR4499	0	323	323	323
MPHOSPH8	0	323	323	323
MRPL57	0	323	323	323
PSPC1	0	323	323	323
SAP18	0	323	323	323
SKA3	0	323	323	323
TPTE2	0	323	323	323
TUBA3C	0	323	323	323
XPO4	0	323	323	323
ZDHHC20	0	323	323	323
ZMYM2	0	323	323	323
ZMYM5	0	323	323	323
ANP32C	0	319	319	319
APELA	0	319	319	319
FAM218A	0	319	319	319
LINC01207	0	319	319	319
