Hugo_Symbol	Amp	Del	total	AlteredSamples
ADAM28	0	314	314	314
ADAM7	0	314	314	314
ADAMDEC1	0	314	314	314
BIN3	0	314	314	314
BIN3-IT1	0	314	314	314
BMP1	0	314	314	314
C8orf58	0	314	314	314
CCAR2	0	314	314	314
CHMP7	0	314	314	314
DMTN	0	314	314	314
DOK2	0	314	314	314
EGR3	0	314	314	314
ENTPD4	0	314	314	314
FAM160B2	0	314	314	314
FGF17	0	314	314	314
GFRA2	0	314	314	314
HR	0	314	314	314
LGI3	0	314	314	314
LOC100507071	0	314	314	314
LOC100507156	0	314	314	314
LOC101929172	0	314	314	314
LOC101929237	0	314	314	314
LOC101929294	0	314	314	314
LOC101929315	0	314	314	314
LOC102467222	0	314	314	314
LOC254896	0	314	314	314
LOC286059	0	314	314	314
LOC286114	0	314	314	314
LOC389641	0	314	314	314
LOXL2	0	314	314	314
MIR320A	0	314	314	314
MIR6841	0	314	314	314
NEFL	0	314	314	314
NEFM	0	314	314	314
NKX2-6	0	314	314	314
NKX3-1	0	314	314	314
NPM2	0	314	314	314
NUDT18	0	314	314	314
PDLIM2	0	314	314	314
PEBP4	0	314	314	314
PHYHIP	0	314	314	314
PIWIL2	0	314	314	314
POLR3D	0	314	314	314
PPP3CC	0	314	314	314
R3HCC1	0	314	314	314
REEP4	0	314	314	314
RHOBTB2	0	314	314	314
SFTPC	0	314	314	314
SLC25A37	0	314	314	314
SLC39A14	0	314	314	314
SORBS3	0	314	314	314
STC1	0	314	314	314
TNFRSF10A	0	314	314	314
TNFRSF10B	0	314	314	314
TNFRSF10C	0	314	314	314
TNFRSF10D	0	314	314	314
XPO7	0	314	314	314
COG3	0	239	239	239
CPB2	0	239	239	239
CPB2-AS1	0	239	239	239
ERICH6B	0	239	239	239
ESD	0	239	239	239
GPALPP1	0	239	239	239
GTF2F2	0	239	239	239
HTR2A	0	239	239	239
HTR2A-AS1	0	239	239	239
KCTD4	0	239	239	239
LACC1	0	239	239	239
LCP1	0	239	239	239
LINC00284	0	239	239	239
LINC00330	0	239	239	239
LINC00390	0	239	239	239
LINC00562	0	239	239	239
LINC00563	0	239	239	239
LINC01055	0	239	239	239
LINC01198	0	239	239	239
LOC101929259	0	239	239	239
