Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	146	183	329	154
RNU6-1	0	255	255	126
RNU6-2	0	255	255	126
RNU6-7	0	255	255	126
[USP12]	242	0	242	121
MIR1268A	40	142	182	118
RNU1-1	46	123	169	94
RNU1-2	46	123	169	94
RNU1-3	46	123	169	94
RNU1-4	46	123	169	94
SMAD3	0	148	148	79
ACR	0	147	147	85
ADM2	0	147	147	85
ALG12	0	147	147	85
ARSA	0	147	147	85
BRD1	0	147	147	85
C22orf34	0	147	147	85
CHKB	0	147	147	85
CHKB-AS1	0	147	147	85
CHKB-CPT1B	0	147	147	85
CPT1B	0	147	147	85
CRELD2	0	147	147	85
DENND6B	0	147	147	85
FAM19A5	0	147	147	85
HDAC10	0	147	147	85
IL17REL	0	147	147	85
KLHDC7B	0	147	147	85
LINC01310	0	147	147	85
LMF2	0	147	147	85
LOC105373100	0	147	147	85
LOC284933	0	147	147	85
MAPK11	0	147	147	85
MAPK12	0	147	147	85
MAPK8IP2	0	147	147	85
MIOX	0	147	147	85
MIR3201	0	147	147	85
MIR3667	0	147	147	85
MIR4535	0	147	147	85
MIR6821	0	147	147	85
MLC1	0	147	147	85
MOV10L1	0	147	147	85
NCAPH2	0	147	147	85
ODF3B	0	147	147	85
PANX2	0	147	147	85
PIM3	0	147	147	85
PLXNB2	0	147	147	85
PPP6R2	0	147	147	85
RABL2B	0	147	147	85
RPL23AP82	0	147	147	85
SBF1	0	147	147	85
SCO2	0	147	147	85
SELO	0	147	147	85
SHANK3	0	147	147	85
SYCE3	0	147	147	85
TRABD	0	147	147	85
TUBGCP6	0	147	147	85
TYMP	0	147	147	85
ZBED4	0	147	147	85
ABALON	146	0	146	146
ANKRD60	146	0	146	146
APCDD1L	146	0	146	146
APCDD1L-AS1	146	0	146	146
ATP5E	146	0	146	146
AURKA	146	0	146	146
BCL2L1	146	0	146	146
BMP7	146	0	146	146
BMP7-AS1	146	0	146	146
C20orf85	146	0	146	146
CASS4	146	0	146	146
CBLN4	146	0	146	146
CCM2L	146	0	146	146
COX4I2	146	0	146	146
CSTF1	146	0	146	146
CTCFL	146	0	146	146
CTSZ	146	0	146	146
DEFB115	146	0	146	146
DEFB116	146	0	146	146
DEFB118	146	0	146	146
DEFB119	146	0	146	146
DEFB121	146	0	146	146
DEFB122	146	0	146	146
DEFB123	146	0	146	146
DEFB124	146	0	146	146
DUSP15	146	0	146	146
FAM209A	146	0	146	146
FAM209B	146	0	146	146
FAM210B	146	0	146	146
FOXS1	146	0	146	146
FRG1BP	146	0	146	146
FRG1CP	146	0	146	146
FRG1DP	146	0	146	146
