Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR7641-2	0	504	504	254
CASC11	319	0	319	319
LOC101927770	295	0	295	295
LOC105372672	295	0	295	295
ZNF217	295	0	295	295
MIR1244-1	0	235	235	185
MIR1244-2	0	235	235	185
MIR1244-3	0	235	235	185
ACTB	223	0	223	223
CCZ1	223	0	223	223
EGFR	223	0	223	223
EGFR-AS1	223	0	223	223
ELDR	223	0	223	223
FBXL18	223	0	223	223
FSCN1	223	0	223	223
LOC221946	223	0	223	223
MIR589	223	0	223	223
MIR6874	223	0	223	223
OCM	223	0	223	223
PMS2	223	0	223	223
RNF216	223	0	223	223
RNF216-IT1	223	0	223	223
RSPH10B	223	0	223	223
SLC29A4	223	0	223	223
TNRC18	223	0	223	223
WIPI2	223	0	223	223
ZNF815P	223	0	223	223
ZNF890P	223	0	223	223
ACSL1	0	216	216	216
ANKRD37	0	216	216	216
C4orf47	0	216	216	216
CASP3	0	216	216	216
CCDC110	0	216	216	216
CDKN2AIP	0	216	216	216
CENPU	0	216	216	216
CFAP97	0	216	216	216
CLDN22	0	216	216	216
CLDN24	0	216	216	216
DCTD	0	216	216	216
ENPP6	0	216	216	216
FAM92A1P2	0	216	216	216
HELT	0	216	216	216
ING2	0	216	216	216
IRF2	0	216	216	216
LINC00290	0	216	216	216
LINC01093	0	216	216	216
LOC102723766	0	216	216	216
LOC105377590	0	216	216	216
LOC389247	0	216	216	216
LOC728175	0	216	216	216
LOC90768	0	216	216	216
LRP2BP	0	216	216	216
LVCAT8	0	216	216	216
MIR1305	0	216	216	216
MIR3945	0	216	216	216
MIR3945HG	0	216	216	216
MIR4455	0	216	216	216
PDLIM3	0	216	216	216
PRIMPOL	0	216	216	216
RWDD4	0	216	216	216
SLC25A4	0	216	216	216
SLED1	0	216	216	216
SNX25	0	216	216	216
STOX2	0	216	216	216
TENM3	0	216	216	216
TRAPPC11	0	216	216	216
UFSP2	0	216	216	216
WWC2	0	216	216	216
WWC2-AS1	0	216	216	216
WWC2-AS2	0	216	216	216
LOC105375972	0	214	214	214
PTPRD	0	214	214	214
PTPRD-AS1	0	214	214	214
WWOX	0	207	207	207
AKAP9	206	0	206	206
ANKIB1	206	0	206	206
CDK6	206	0	206	206
CYP51A1	206	0	206	206
CYP51A1-AS1	206	0	206	206
ERVW-1	206	0	206	206
FAM133B	206	0	206	206
