Hugo_Symbol	Amp	Del	total	AlteredSamples
FAM19A5	0	91	91	91
LOC284933	0	91	91	91
MIR3201	0	91	91	91
APOL1	0	90	90	90
APOL2	0	90	90	90
APOL3	0	90	90	90
APOL4	0	90	90	90
MIR6819	0	90	90	90
ALG11	0	46	46	19
ARL11	0	46	46	19
ATP7B	0	46	46	19
CAB39L	0	46	46	19
CCDC70	0	46	46	19
CDADC1	0	46	46	19
CKAP2	0	46	46	19
CTAGE10P	0	46	46	19
CYSLTR2	0	46	46	19
DHRS12	0	46	46	19
DIAPH3	0	46	46	19
DIAPH3-AS1	0	46	46	19
DIAPH3-AS2	0	46	46	19
DLEU1	0	46	46	19
DLEU1-AS1	0	46	46	19
DLEU2	0	46	46	19
DLEU7	0	46	46	19
DLEU7-AS1	0	46	46	19
EBPL	0	46	46	19
FAM124A	0	46	46	19
FNDC3A	0	46	46	19
GUCY1B2	0	46	46	19
HNRNPA1L2	0	46	46	19
HTR2A	0	46	46	19
HTR2A-AS1	0	46	46	19
INTS6	0	46	46	19
INTS6-AS1	0	46	46	19
ITM2B	0	46	46	19
KCNRG	0	46	46	19
KPNA3	0	46	46	19
LECT1	0	46	46	19
LINC00282	0	46	46	19
LINC00358	0	46	46	19
LINC00371	0	46	46	19
LINC00374	0	46	46	19
LINC00378	0	46	46	19
LINC00434	0	46	46	19
LINC00441	0	46	46	19
LINC00448	0	46	46	19
LINC00458	0	46	46	19
LINC00462	0	46	46	19
LINC00558	0	46	46	19
LINC00562	0	46	46	19
LINC01065	0	46	46	19
LINC01075	0	46	46	19
LOC101926897	0	46	46	19
LOC101926951	0	46	46	19
LOC101929657	0	46	46	19
LOC103191607	0	46	46	19
LOC105370203	0	46	46	19
LPAR6	0	46	46	19
MED4	0	46	46	19
MED4-AS1	0	46	46	19
MIR1297	0	46	46	19
MIR15A	0	46	46	19
MIR16-1	0	46	46	19
MIR3169	0	46	46	19
MIR3613	0	46	46	19
MIR4703	0	46	46	19
MIR5007	0	46	46	19
MIR5693	0	46	46	19
MIR759	0	46	46	19
MLNR	0	46	46	19
MRPS31P5	0	46	46	19
NEK3	0	46	46	19
NEK5	0	46	46	19
NUDT15	0	46	46	19
OLFM4	0	46	46	19
PCDH17	0	46	46	19
PCDH20	0	46	46	19
PCDH8	0	46	46	19
PHF11	0	46	46	19
PRR20A	0	46	46	19
PRR20B	0	46	46	19
PRR20C	0	46	46	19
PRR20D	0	46	46	19
RB1	0	46	46	19
RCBTB1	0	46	46	19
RCBTB2	0	46	46	19
RNASEH2B	0	46	46	19
RNASEH2B-AS1	0	46	46	19
SERPINE3	0	46	46	19
SETDB2	0	46	46	19
SETDB2-PHF11	0	46	46	19
SPRYD7	0	46	46	19
ST13P4	0	46	46	19
SUCLA2	0	46	46	19
SUGT1	0	46	46	19
TDRD3	0	46	46	19
THSD1	0	46	46	19
TPTE2P3	0	46	46	19
TRIM13	0	46	46	19
UTP14C	0	46	46	19
VPS36	0	46	46	19
WDFY2	0	46	46	19
AAED1	0	31	31	31
ABCC4	0	31	31	19
ACOD1	0	31	31	19
ANKRD18CP	0	31	31	31
ANKS6	0	31	31	31
ANP32B	0	31	31	31
ATXN8OS	0	31	31	19
BORA	0	31	31	19
BTF3P11	0	31	31	19
CCDC180	0	31	31	31
CDC14B	0	31	31	31
CLDN10	0	31	31	19
CLDN10-AS1	0	31	31	19
CLN5	0	31	31	19
COL15A1	0	31	31	31
COMMD6	0	31	31	19
CORO2A	0	31	31	31
CTAGE11P	0	31	31	19
CTSV	0	31	31	31
DACH1	0	31	31	19
DCT	0	31	31	19
DIS3	0	31	31	19
DNAJC3	0	31	31	19
DNAJC3-AS1	0	31	31	19
DZIP1	0	31	31	19
EDNRB	0	31	31	19
EDNRB-AS1	0	31	31	19
ERCC6L2	0	31	31	31
FANCC	0	31	31	31
FARP1	0	31	31	19
FBXL3	0	31	31	19
FOXE1	0	31	31	31
GABBR2	0	31	31	31
GALNT12	0	31	31	31
GAS2L1P2	0	31	31	31
GPC5	0	31	31	19
GPC5-AS1	0	31	31	19
GPC5-AS2	0	31	31	19
GPC6	0	31	31	19
GPC6-AS1	0	31	31	19
GPC6-AS2	0	31	31	19
GPR180	0	31	31	19
HABP4	0	31	31	31
HEMGN	0	31	31	31
HS6ST3	0	31	31	19
HSD17B3	0	31	31	31
IPO5	0	31	31	19
KCTD12	0	31	31	19
KLF12	0	31	31	19
KLF5	0	31	31	19
KLHL1	0	31	31	19
LINC00092	0	31	31	31
LINC00331	0	31	31	19
LINC00333	0	31	31	19
LINC00347	0	31	31	19
LINC00348	0	31	31	19
LINC00351	0	31	31	19
LINC00353	0	31	31	19
LINC00359	0	31	31	19
LINC00363	0	31	31	19
LINC00364	0	31	31	19
LINC00375	0	31	31	19
LINC00376	0	31	31	19
LINC00377	0	31	31	19
LINC00379	0	31	31	19
LINC00380	0	31	31	19
LINC00381	0	31	31	19
LINC00382	0	31	31	19
LINC00383	0	31	31	19
LINC00392	0	31	31	19
LINC00395	0	31	31	19
LINC00397	0	31	31	19
LINC00410	0	31	31	19
LINC00430	0	31	31	19
LINC00433	0	31	31	19
LINC00440	0	31	31	19
LINC00446	0	31	31	19
LINC00456	0	31	31	19
LINC00476	0	31	31	31
LINC00550	0	31	31	19
LINC00557	0	31	31	19
LINC00559	0	31	31	19
LINC00560	0	31	31	19
LINC00564	0	31	31	19
LINC01038	0	31	31	19
LINC01040	0	31	31	19
LINC01047	0	31	31	19
LINC01049	0	31	31	19
LINC01052	0	31	31	19
LINC01068	0	31	31	19
LINC01069	0	31	31	19
LINC01078	0	31	31	19
LINC01080	0	31	31	19
LMO7	0	31	31	19
LMO7-AS1	0	31	31	19
LMO7DN	0	31	31	19
LMO7DN-IT1	0	31	31	19
LOC100129307	0	31	31	19
LOC100132781	0	31	31	31
LOC100499484	0	31	31	31
LOC100499484-C9ORF174	0	31	31	31
LOC100507346	0	31	31	31
LOC101927248	0	31	31	19
LOC101927284	0	31	31	19
LOC102723968	0	31	31	19
LOC105370306	0	31	31	19
LOC158434	0	31	31	31
LOC158435	0	31	31	31
LOC286359	0	31	31	31
LOC441454	0	31	31	31
LOC441455	0	31	31	31
MBNL2	0	31	31	19
MFSD14C	0	31	31	31
MIR1302-8	0	31	31	31
MIR17	0	31	31	19
MIR17HG	0	31	31	19
MIR18A	0	31	31	19
MIR19A	0	31	31	19
MIR19B1	0	31	31	19
MIR20A	0	31	31	19
MIR2278	0	31	31	31
MIR23B	0	31	31	31
MIR24-1	0	31	31	31
MIR27B	0	31	31	31
MIR3074	0	31	31	31
MIR3170	0	31	31	19
MIR3665	0	31	31	19
MIR4500	0	31	31	19
MIR4500HG	0	31	31	19
MIR4501	0	31	31	19
MIR4704	0	31	31	19
MIR548AS	0	31	31	19
MIR548X2	0	31	31	19
MIR6081	0	31	31	31
MIR622	0	31	31	19
MIR6854	0	31	31	31
MIR92A1	0	31	31	19
MYCBP2	0	31	31	19
MYCBP2-AS1	0	31	31	19
MZT1	0	31	31	19
NANS	0	31	31	31
NCBP1	0	31	31	31
NDFIP2	0	31	31	19
NDFIP2-AS1	0	31	31	19
NUTM2G	0	31	31	31
OR7E156P	0	31	31	19
OXGR1	0	31	31	19
PCDH9	0	31	31	19
PCDH9-AS2	0	31	31	19
PCDH9-AS3	0	31	31	19
PCDH9-AS4	0	31	31	19
PIBF1	0	31	31	19
POU4F1	0	31	31	19
PTCH1	0	31	31	31
RAP2A	0	31	31	19
RBM26	0	31	31	19
RBM26-AS1	0	31	31	19
RNF113B	0	31	31	19
RNF219	0	31	31	19
RNF219-AS1	0	31	31	19
SCEL	0	31	31	19
SCEL-AS1	0	31	31	19
SLAIN1	0	31	31	19
SLC35D2	0	31	31	31
SLITRK1	0	31	31	19
SLITRK5	0	31	31	19
SLITRK6	0	31	31	19
SNORA107	0	31	31	19
SOX21	0	31	31	19
SOX21-AS1	0	31	31	19
SPRY2	0	31	31	19
STK24	0	31	31	19
TBC1D2	0	31	31	31
TBC1D4	0	31	31	19
TDRD7	0	31	31	31
TGDS	0	31	31	19
TMOD1	0	31	31	31
TRIM14	0	31	31	31
TRMO	0	31	31	31
TSTD2	0	31	31	31
UCHL3	0	31	31	19
UGGT2	0	31	31	19
XPA	0	31	31	31
ZNF367	0	31	31	31
ZNF510	0	31	31	31
ZNF782	0	31	31	31
AKAP11	0	29	29	16
ALG5	0	29	29	16
ALOX5AP	0	29	29	16
AMER2	0	29	29	16
ANKRD20A19P	0	29	29	16
ATP12A	0	29	29	16
ATP5EP2	0	29	29	16
ATP8A2	0	29	29	16
B3GLCT	0	29	29	16
BASP1P1	0	29	29	16
BRCA2	0	29	29	16
C1QTNF9	0	29	29	16
C1QTNF9B	0	29	29	16
C1QTNF9B-AS1	0	29	29	16
CCDC122	0	29	29	16
CCDC169	0	29	29	16
CCDC169-SOHLH2	0	29	29	16
CCNA1	0	29	29	16
CDK8	0	29	29	16
CDX2	0	29	29	16
CENPJ	0	29	29	16
COG3	0	29	29	16
COG6	0	29	29	16
CPB2	0	29	29	16
CPB2-AS1	0	29	29	16
CSNK1A1L	0	29	29	16
DCLK1	0	29	29	16
DGKH	0	29	29	16
DNAJC15	0	29	29	16
EEF1DP3	0	29	29	16
ELF1	0	29	29	16
ENOX1	0	29	29	16
ENOX1-AS2	0	29	29	16
EPSTI1	0	29	29	16
ERICH6B	0	29	29	16
ESD	0	29	29	16
EXOSC8	0	29	29	16
FAM216B	0	29	29	16
FLT1	0	29	29	16
FLT3	0	29	29	16
FOXO1	0	29	29	16
FREM2	0	29	29	16
FRY	0	29	29	16
FRY-AS1	0	29	29	16
GPALPP1	0	29	29	16
GPR12	0	29	29	16
GSX1	0	29	29	16
GTF2F2	0	29	29	16
GTF3A	0	29	29	16
HMGB1	0	29	29	16
HSPH1	0	29	29	16
KATNAL1	0	29	29	16
KBTBD6	0	29	29	16
KBTBD7	0	29	29	16
KCTD4	0	29	29	16
KL	0	29	29	16
LACC1	0	29	29	16
LCP1	0	29	29	16
LHFP	0	29	29	16
LINC00284	0	29	29	16
LINC00297	0	29	29	16
LINC00327	0	29	29	16
LINC00330	0	29	29	16
LINC00332	0	29	29	16
LINC00365	0	29	29	16
LINC00366	0	29	29	16
LINC00384	0	29	29	16
LINC00390	0	29	29	16
LINC00398	0	29	29	16
LINC00400	0	29	29	16
LINC00412	0	29	29	16
LINC00423	0	29	29	16
LINC00426	0	29	29	16
LINC00428	0	29	29	16
LINC00437	0	29	29	16
LINC00445	0	29	29	16
LINC00457	0	29	29	16
LINC00463	0	29	29	16
LINC00543	0	29	29	16
LINC00544	0	29	29	16
LINC00545	0	29	29	16
LINC00547	0	29	29	16
LINC00548	0	29	29	16
LINC00563	0	29	29	16
LINC00566	0	29	29	16
LINC00571	0	29	29	16
LINC00572	0	29	29	16
LINC00598	0	29	29	16
LINC00621	0	29	29	16
LINC01048	0	29	29	16
LINC01050	0	29	29	16
LINC01053	0	29	29	16
LINC01055	0	29	29	16
LINC01058	0	29	29	16
LINC01198	0	29	29	16
LNX2	0	29	29	16
LOC101929140	0	29	29	16
LOC101929259	0	29	29	16
LOC102723345	0	29	29	16
LOC105370177	0	29	29	16
LRCH1	0	29	29	16
LRRC63	0	29	29	16
MAB21L1	0	29	29	16
MEDAG	0	29	29	16
MINOS1P1	0	29	29	16
MIPEP	0	29	29	16
MIR2276	0	29	29	16
MIR3168	0	29	29	16
MIR320D1	0	29	29	16
MIR4305	0	29	29	16
MIR5006	0	29	29	16
MIR621	0	29	29	16
MIR8079	0	29	29	16
MRPS31	0	29	29	16
MTIF3	0	29	29	16
MTMR6	0	29	29	16
MTRF1	0	29	29	16
MTUS2	0	29	29	16
MTUS2-AS1	0	29	29	16
N4BP2L1	0	29	29	16
N4BP2L2	0	29	29	16
N4BP2L2-IT2	0	29	29	16
NAA16	0	29	29	16
NBEA	0	29	29	16
NHLRC3	0	29	29	16
NUFIP1	0	29	29	16
NUP58	0	29	29	16
OR7E37P	0	29	29	16
PABPC3	0	29	29	16
PAN3	0	29	29	16
PAN3-AS1	0	29	29	16
PARP4	0	29	29	16
PDS5B	0	29	29	16
PDX1	0	29	29	16
PDX1-AS1	0	29	29	16
POLR1D	0	29	29	16
POMP	0	29	29	16
POSTN	0	29	29	16
PROSER1	0	29	29	16
RASL11A	0	29	29	16
RFC3	0	29	29	16
RFXAP	0	29	29	16
RGCC	0	29	29	16
RNF17	0	29	29	16
RNF6	0	29	29	16
RPL21	0	29	29	16
RUBCNL	0	29	29	16
RXFP2	0	29	29	16
SACS	0	29	29	16
SACS-AS1	0	29	29	16
SERP2	0	29	29	16
SERTM1	0	29	29	16
SGCG	0	29	29	16
SHISA2	0	29	29	16
SIAH3	0	29	29	16
SLC25A15	0	29	29	16
SLC25A30	0	29	29	16
SLC25A30-AS1	0	29	29	16
SLC46A3	0	29	29	16
SLC7A1	0	29	29	16
SMAD9	0	29	29	16
SMIM2	0	29	29	16
SMIM2-AS1	0	29	29	16
SMIM2-IT1	0	29	29	16
SNORA27	0	29	29	16
SNORA31	0	29	29	16
SNORD102	0	29	29	16
SOHLH2	0	29	29	16
SPATA13	0	29	29	16
SPATA13-AS1	0	29	29	16
SPERT	0	29	29	16
SPG20	0	29	29	16
SPG20-AS1	0	29	29	16
STARD13	0	29	29	16
STARD13-AS	0	29	29	16
STOML3	0	29	29	16
SUGT1P3	0	29	29	16
SUPT20H	0	29	29	16
TEX26	0	29	29	16
TEX26-AS1	0	29	29	16
TNFRSF19	0	29	29	16
TNFSF11	0	29	29	16
TPT1	0	29	29	16
TPT1-AS1	0	29	29	16
TPTE2P1	0	29	29	16
TPTE2P5	0	29	29	16
TPTE2P6	0	29	29	16
TRPC4	0	29	29	16
TSC22D1	0	29	29	16
TSC22D1-AS1	0	29	29	16
TUSC8	0	29	29	16
UBL3	0	29	29	16
UFM1	0	29	29	16
URAD	0	29	29	16
USP12	0	29	29	16
USP12-AS1	0	29	29	16
USP12-AS2	0	29	29	16
USPL1	0	29	29	16
VWA8	0	29	29	16
VWA8-AS1	0	29	29	16
WASF3	0	29	29	16
WBP4	0	29	29	16
ZAR1L	0	29	29	16
ZC3H13	0	29	29	16
MIR7641-2	0	22	22	19
[MTRNR2L6]	22	0	22	22
MIR7848	0	19	19	14
SLA	0	19	19	14
TG	0	19	19	14
MIR1244-1	0	16	16	16
MIR1244-2	0	16	16	16
MIR1244-3	0	16	16	16
PRCAT47	0	16	16	10
ABHD13	0	14	14	14
ADPRHL1	0	14	14	14
ANKRD10	0	14	14	14
ANKRD20A9P	0	14	14	14
ANKRD26P3	0	14	14	14
ARGLU1	0	14	14	14
ARHGEF7	0	14	14	14
ARHGEF7-AS1	0	14	14	14
ARHGEF7-AS2	0	14	14	14
ATP11A	0	14	14	14
ATP11A-AS1	0	14	14	14
ATP11AUN	0	14	14	14
ATP4B	0	14	14	14
BIVM	0	14	14	14
BIVM-ERCC5	0	14	14	14
CARS2	0	14	14	14
CCDC168	0	14	14	14
CDC16	0	14	14	14
CHAMP1	0	14	14	14
CLYBL	0	14	14	14
CLYBL-AS1	0	14	14	14
CLYBL-AS2	0	14	14	14
COL4A1	0	14	14	14
COL4A2	0	14	14	14
COL4A2-AS1	0	14	14	14
COL4A2-AS2	0	14	14	14
CRYL1	0	14	14	14
CUL4A	0	14	14	14
DAOA	0	14	14	14
DAOA-AS1	0	14	14	14
DCUN1D2	0	14	14	14
DOCK9	0	14	14	14
DOCK9-AS1	0	14	14	14
DOCK9-AS2	0	14	14	14
EEF1AKMT1	0	14	14	14
EFNB2	0	14	14	14
ERCC5	0	14	14	14
F10	0	14	14	14
F10-AS1	0	14	14	14
F7	0	14	14	14
FAM155A	0	14	14	14
FAM155A-IT1	0	14	14	14
FAM230C	0	14	14	14
FGF14	0	14	14	14
FGF14-AS1	0	14	14	14
FGF14-AS2	0	14	14	14
FGF14-IT1	0	14	14	14
FGF9	0	14	14	14
FKSG29	0	14	14	14
GAS6	0	14	14	14
GAS6-AS1	0	14	14	14
GAS6-AS2	0	14	14	14
GGACT	0	14	14	14
GJA3	0	14	14	14
GJB2	0	14	14	14
GJB6	0	14	14	14
GPR18	0	14	14	14
GPR183	0	14	14	14
GRK1	0	14	14	14
GRTP1	0	14	14	14
GRTP1-AS1	0	14	14	14
IFT88	0	14	14	14
IL17D	0	14	14	14
ING1	0	14	14	14
IRS2	0	14	14	14
ITGBL1	0	14	14	14
KDELC1	0	14	14	14
LAMP1	0	14	14	14
LATS2	0	14	14	14
LIG4	0	14	14	14
LINC00343	0	14	14	14
LINC00346	0	14	14	14
LINC00350	0	14	14	14
LINC00354	0	14	14	14
LINC00367	0	14	14	14
LINC00368	0	14	14	14
