Hugo_Symbol	Amp	Del	total	AlteredSamples
MIR1268A	0	272	272	175
ARHGEF2	270	0	270	270
KIAA0907	270	0	270	270
MIR6738	270	0	270	270
RIT1	270	0	270	270
RXFP4	270	0	270	270
SCARNA4	270	0	270	270
SNORA80E	270	0	270	270
SSR2	270	0	270	270
SYT11	270	0	270	270
UBQLN4	270	0	270	270
GBAT2	260	0	260	260
LOC100507670	260	0	260	260
PI4KB	260	0	260	260
PIP5K1A	260	0	260	260
PSMD4	260	0	260	260
RFX5	260	0	260	260
ZNF687	260	0	260	260
MIR1302-10	38	215	253	173
MIR1302-11	38	215	253	173
MIR1302-2	38	215	253	173
MIR1302-9	38	215	253	173
COA6	224	0	224	224
IRF2BP2	224	0	224	224
LINC00184	224	0	224	224
LINC01132	224	0	224	224
LINC01348	224	0	224	224
LINC01354	224	0	224	224
LOC101927787	224	0	224	224
LOC101927851	224	0	224	224
TARBP1	224	0	224	224
FAM138A	0	215	215	168
FAM138C	0	215	215	168
LINC00824	215	0	215	215
RNU6-1	0	215	215	168
RNU6-2	0	215	215	168
RNU6-7	0	215	215	168
CASC11	210	0	210	210
MYC	210	0	210	210
C8orf86	123	72	195	195
FGFR1	123	72	195	195
PLEKHA2	123	72	195	195
RNF5P1	123	72	195	195
TACC1	123	72	195	195
MRPL15	194	0	194	194
RNU105C	194	0	194	194
SOX17	194	0	194	194
MIR6859-1	38	155	193	142
MIR6859-2	38	155	193	142
MIR6859-3	38	155	193	142
LOC100507661	186	0	186	186
ACTRT3	170	0	170	170
FBXW5	40	130	170	156
MECOM	170	0	170	170
MYNN	170	0	170	170
TERC	170	0	170	170
TRAF2	40	130	170	156
WWOX	0	167	167	167
CABLES2	160	0	160	160
LAMA5	160	0	160	160
LAMA5-AS1	160	0	160	160
RBBP8NL	160	0	160	160
RPS21	160	0	160	160
ABR	39	120	159	157
ANK1	159	0	159	159
BHLHA9	39	120	159	157
C17orf97	39	120	159	157
DBIL5P	39	120	159	157
DOC2B	39	120	159	157
