GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
264c8b42-e178-44b7-856d-ba3ebf0e2879	1	3301765	161741462	74385	0.0168
264c8b42-e178-44b7-856d-ba3ebf0e2879	1	161743431	161743448	2	-1.972
264c8b42-e178-44b7-856d-ba3ebf0e2879	1	161744063	247650984	55353	0.016
264c8b42-e178-44b7-856d-ba3ebf0e2879	2	480597	66130772	38811	0.0174
264c8b42-e178-44b7-856d-ba3ebf0e2879	2	66133329	66134094	2	-2.4387
264c8b42-e178-44b7-856d-ba3ebf0e2879	2	66134237	241537572	93342	0.0163
264c8b42-e178-44b7-856d-ba3ebf0e2879	3	2170634	197812401	107156	0.0139
264c8b42-e178-44b7-856d-ba3ebf0e2879	4	1059384	151997074	84114	0.0142
264c8b42-e178-44b7-856d-ba3ebf0e2879	4	152003977	152005198	4	1.1921
264c8b42-e178-44b7-856d-ba3ebf0e2879	4	152008464	154346098	1361	0.015
264c8b42-e178-44b7-856d-ba3ebf0e2879	4	154348159	154348491	4	-1.0826
264c8b42-e178-44b7-856d-ba3ebf0e2879	4	154354537	187842528	17976	0.0096
264c8b42-e178-44b7-856d-ba3ebf0e2879	5	914118	68165776	36548	0.0109
264c8b42-e178-44b7-856d-ba3ebf0e2879	5	68167403	68168671	2	-1.4957
264c8b42-e178-44b7-856d-ba3ebf0e2879	5	68169975	180934240	64528	0.0139
264c8b42-e178-44b7-856d-ba3ebf0e2879	6	1011760	170596889	97124	0.0129
264c8b42-e178-44b7-856d-ba3ebf0e2879	7	664936	158592540	81915	0.0143
264c8b42-e178-44b7-856d-ba3ebf0e2879	8	667625	136325576	78517	0.015
264c8b42-e178-44b7-856d-ba3ebf0e2879	8	136325973	136325987	2	-1.8749
264c8b42-e178-44b7-856d-ba3ebf0e2879	8	136329914	144182542	3681	0.0109
264c8b42-e178-44b7-856d-ba3ebf0e2879	9	789794	14093847	7474	0.0119
264c8b42-e178-44b7-856d-ba3ebf0e2879	9	14094939	14114276	11	-0.7522
264c8b42-e178-44b7-856d-ba3ebf0e2879	9	14114993	15849103	1333	0.013
264c8b42-e178-44b7-856d-ba3ebf0e2879	9	15854378	15855319	2	-1.4446
264c8b42-e178-44b7-856d-ba3ebf0e2879	9	15862961	20610915	3902	0.0137
264c8b42-e178-44b7-856d-ba3ebf0e2879	9	20612517	20612946	2	-1.4305
264c8b42-e178-44b7-856d-ba3ebf0e2879	9	20613697	138044505	55746	0.0137
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	366509	8725836	5903	0.0099
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	8725864	8726549	3	-1.0995
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	8726935	82951704	43456	0.0172
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	82953142	82957416	6	-0.923
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	82958025	112314423	18109	0.016
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	112314859	112315734	5	-1.2161
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	112317251	112732165	291	0.0093
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	112732897	112733139	3	-0.8936
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	112738386	113979650	896	0.018
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	113986660	113986792	2	-1.4931
264c8b42-e178-44b7-856d-ba3ebf0e2879	10	113988238	133411599	12584	0.016
264c8b42-e178-44b7-856d-ba3ebf0e2879	11	456012	100252591	54887	0.0152
264c8b42-e178-44b7-856d-ba3ebf0e2879	11	100252982	100253016	2	-1.4577
264c8b42-e178-44b7-856d-ba3ebf0e2879	11	100254360	134262730	22660	0.0146
264c8b42-e178-44b7-856d-ba3ebf0e2879	11	134267239	134272740	4	-0.6776
264c8b42-e178-44b7-856d-ba3ebf0e2879	12	780472	132605822	74314	0.0166
264c8b42-e178-44b7-856d-ba3ebf0e2879	13	18874255	114226675	56991	0.0131
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	20033191	28584728	4148	0.0225
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	28594399	28594671	3	-0.9623
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	28598299	44288914	8662	0.0199
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	44289837	44289840	2	-1.2783
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	44289993	47898614	1545	0.0098
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	47911033	47943082	34	0.5232
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	47943084	48429351	200	0.0146
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	48429671	48431275	2	-1.232
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	48431939	73953773	15739	0.012
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	73957074	73957079	2	1.503
264c8b42-e178-44b7-856d-ba3ebf0e2879	14	73958353	105533894	19438	0.0137
264c8b42-e178-44b7-856d-ba3ebf0e2879	15	23437561	47141241	11810	0.0137
264c8b42-e178-44b7-856d-ba3ebf0e2879	15	47142248	47142426	2	-1.3328
264c8b42-e178-44b7-856d-ba3ebf0e2879	15	47149037	69210228	14259	0.0153
264c8b42-e178-44b7-856d-ba3ebf0e2879	15	69215828	69228581	9	0.6448
264c8b42-e178-44b7-856d-ba3ebf0e2879	15	69236278	92327365	13363	0.0139
264c8b42-e178-44b7-856d-ba3ebf0e2879	15	92327534	92327673	2	-1.3952
264c8b42-e178-44b7-856d-ba3ebf0e2879	15	92328550	101344124	5325	0.0135
264c8b42-e178-44b7-856d-ba3ebf0e2879	16	603333	89317317	41198	0.0151
264c8b42-e178-44b7-856d-ba3ebf0e2879	17	1074619	12202666	6119	0.0191
264c8b42-e178-44b7-856d-ba3ebf0e2879	17	12202882	12203037	2	-1.3635
264c8b42-e178-44b7-856d-ba3ebf0e2879	17	12203297	49798502	13441	0.0191
264c8b42-e178-44b7-856d-ba3ebf0e2879	17	49801487	49803065	3	-1.1997
264c8b42-e178-44b7-856d-ba3ebf0e2879	17	49805436	82695857	17562	0.0189
264c8b42-e178-44b7-856d-ba3ebf0e2879	17	82696229	82696355	4	-1.2158
264c8b42-e178-44b7-856d-ba3ebf0e2879	17	82696924	82959812	136	-0.006
264c8b42-e178-44b7-856d-ba3ebf0e2879	18	326691	79349796	42947	0.0173
264c8b42-e178-44b7-856d-ba3ebf0e2879	19	283868	58370362	24147	0.0175
264c8b42-e178-44b7-856d-ba3ebf0e2879	20	472817	63588502	37549	0.0139
264c8b42-e178-44b7-856d-ba3ebf0e2879	21	13974127	46262057	20585	0.0123
264c8b42-e178-44b7-856d-ba3ebf0e2879	22	16934932	48940621	17091	0.0194
264c8b42-e178-44b7-856d-ba3ebf0e2879	X	3236359	20729376	7108	0.0223
264c8b42-e178-44b7-856d-ba3ebf0e2879	X	20732820	20739774	3	-1.2186
264c8b42-e178-44b7-856d-ba3ebf0e2879	X	20739949	92884018	28364	0.0136
264c8b42-e178-44b7-856d-ba3ebf0e2879	X	92894366	92943437	14	-0.7876
264c8b42-e178-44b7-856d-ba3ebf0e2879	X	92943830	155677414	28476	0.0166
